product,product_label,candidate,candidate_label,observed_col,baseline_col,discount_col,support_col,n_obs,coverage_share,best_corr_prozorro,best_lag_prozorro,best_corr_consumer,best_lag_consumer,discount_std,median_item_support,overlap_prozorro_n,overlap_consumer_n,coverage_share_scaled,best_corr_prozorro_scaled,best_corr_consumer_scaled,discount_std_scaled,median_item_support_scaled,selection_score
condensed_milk,Condensed milk,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.03450608930987822,-0.40237050138593256,26.0,,,0.06728609346636556,29.0,51,0,0.7083333333333334,0.7186506530872158,0.0,0.15376340540523456,0.04468412942989214,0.450174155881172
cream,Cream,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,70,0.04736129905277402,0.5157708077735713,27.0,,,0.10709935527424426,55.0,70,0,0.9722222222222222,0.9211883738323084,0.0,0.24474539589528616,0.0847457627118644,0.6052095828126675
cream,Cream,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,63,0.04262516914749662,0.5598972180118519,27.0,,,0.13272675584640237,8.0,63,0,0.875,1.0,0.0,0.30330959810489816,0.012326656394453005,0.5946799582696578
cream,Cream,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.03450608930987822,-0.3123217066898508,18.0,,,0.045546747521717036,55.0,51,0,0.7083333333333334,0.5578197151950121,0.0,0.10408425639352141,0.0847457627118644,0.4029662046046354
cream,Cream,novus,Novus only,novus_category_observed_model,novus_category_baseline_model,novus_discount_share,novus_n_item_keys,47,0.031799729364005415,0.3247901575946555,27.0,,,0.0,1.0,47,0,0.6527777777777778,0.5800888933650326,0.0,0.0,0.0015408320493066256,0.3700911261502391
milk,Drinking milk / fermented milk,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,72,0.04871447902571042,0.26665354444722505,17.0,-0.1616055971668958,0.0,0.10895965135561686,266.0,72,72,1.0,0.4762544550481773,0.2252487986663059,0.2489965783580762,0.4098613251155624,0.563042512917541
milk,Drinking milk / fermented milk,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,72,0.04871447902571042,0.27999150884886487,8.0,-0.3492915158105239,0.0,0.12837750649859586,38.0,72,72,1.0,0.5000766209253392,0.4868488202138227,0.2933706143383712,0.05855161787365177,0.5611701134245599
milk,Drinking milk / fermented milk,novus,Novus only,novus_category_observed_model,novus_category_baseline_model,novus_discount_share,novus_n_item_keys,56,0.037889039242219216,0.43411468409200665,17.0,-0.3256297943971646,0.0,0.0,1.0,56,56,0.7777777777777778,0.7753470996578828,0.4538686857619711,0.0,0.0015408320493066256,0.5342488909023898
milk,Drinking milk / fermented milk,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.03450608930987822,-0.27718234187975765,1.0,0.4477845299374863,14.0,0.02454020116727729,266.0,51,51,0.7083333333333334,0.49505933046784717,0.6241301613186737,0.05607971434240387,0.4098613251155624,0.5217244935397299
milk_powder,Milk powder,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,51,0.03450608930987822,,,,,0.4375949744936837,1.0,0,0,0.7083333333333334,0.0,0.0,1.0,0.0015408320493066256,0.31273112480739595
milk_powder,Milk powder,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.03450608930987822,,,,,0.313565559220202,3.0,0,0,0.7083333333333334,0.0,0.0,0.7165657228651013,0.004622496147919877,0.2848499467086981
milk_powder,Milk powder,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,51,0.03450608930987822,,,,,0.31176190153142525,3.0,0,0,0.7083333333333334,0.0,0.0,0.7124439714878976,0.004622496147919877,0.2844377715709777
other,Other,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,64,0.04330175913396482,,,,,0.08918926921634553,108.0,0,0,0.888888888888889,0.0,0.0,0.20381694126981548,0.16640986132511557,0.31200983999241555
other,Other,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,54,0.036535859269282815,,,,,0.07921727237467725,108.0,0,0,0.75,0.0,0.0,0.18102875259555956,0.16640986132511557,0.2680643544583233
other,Other,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,55,0.03721244925575101,,,,,0.14154907084040613,4.0,0,0,0.7638888888888888,0.0,0.0,0.32347051289650786,0.0061633281972265025,0.2624382171859014
sour_cream,Sour cream,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,68,0.046008119079837616,-0.34191291868167223,27.0,-0.7174537583496988,2.0,0.08530949520195658,56.0,68,68,0.9444444444444444,0.6106708654416544,1.0,0.19495081107972814,0.08628659476117104,0.6489726632879782
sour_cream,Sour cream,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,66,0.044654939106901215,-0.3466620096573451,27.0,-0.6980060952121317,4.0,0.10601996887555391,16.0,66,66,0.9166666666666666,0.6191529418351334,0.972893496045932,0.24227876245202223,0.02465331278890601,0.6346057801209679
sour_cream,Sour cream,novus,Novus only,novus_category_observed_model,novus_category_baseline_model,novus_discount_share,novus_n_item_keys,34,0.023004059539918808,-0.47357951088733824,28.0,-0.6910292329558746,0.0,0.0,1.0,34,34,0.4722222222222222,0.8458329415691319,0.9631690194855116,0.0,0.0015408320493066256,0.5401230268676289
sour_cream,Sour cream,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.03450608930987822,0.4070064928517424,12.0,-0.06331858505023338,6.0,0.03889114766955769,56.0,51,51,0.7083333333333334,0.7269307289952044,0.08825458688219856,0.08887475847855983,0.08628659476117104,0.4656478717929227
yogurt_dessert,Yogurt / dessert,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,72,0.04871447902571042,,,,,0.11527520243201086,649.0,0,0,1.0,0.0,0.0,0.26342899062172564,1.0,0.47634289906217253
yogurt_dessert,Yogurt / dessert,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.03450608930987822,,,,,0.027729504480174447,649.0,0,0,0.7083333333333334,0.0,0.0,0.06336796831878311,1.0,0.3688367968318783
yogurt_dessert,Yogurt / dessert,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,68,0.046008119079837616,,,,,0.10178772669969967,102.0,0,0,0.9444444444444444,0.0,0.0,0.23260716560438674,0.15716486902927582,0.3301687802481634
yogurt_dessert,Yogurt / dessert,novus,Novus only,novus_category_observed_model,novus_category_baseline_model,novus_discount_share,novus_n_item_keys,58,0.03924221921515562,,,,,0.0,1.0,0,0,0.8055555555555556,0.0,0.0,0.0,0.0015408320493066256,0.24189779147406265
