retailer,item_key,product,brand_norm,canonical_name,n_strict_keys,fat_pct,pack_std,pack_std_unit,first_title,first_name,n_rows,date_min,date_max
Novus,cheese|na|сирний плавлений сиророб янтар,cheese,,сирний плавлений сиророб янтар,1,60.0,0.16,kg,Продукт сирний плавлений Сиророб Янтар 60% 160г,сирний плавлений Сиророб Янтар,1,2025-11-04,2025-11-04
Novus,cheese|na|сирний подільський,cheese,,сирний подільський,1,50.0,,,Продукт сирний Подільський домашній 50%,сирний Подільський домашній,1,2025-11-04,2025-11-04
Novus,cheese|na|сирний фета good milk грецький салат який кремовий,cheese,,сирний фета good milk грецький салат який кремовий,1,50.0,0.17,kg,Продукт сирний Фета Good Milk Грецький салат м`який кремовий 50% 170г,сирний Фета Good Milk Грецький салат м`який кремовий,1,2025-11-04,2025-11-04
Novus,cheese|na|сирний янтар плавлений,cheese,,сирний янтар плавлений,1,60.0,0.18,kg,Продукт сирний Янтар плавлений пастоподібний 60% 180г,сирний Янтар плавлений пастоподібний,1,2025-11-04,2025-11-04
Novus,cheese|albeniz|oveja овечий нарізаний скибочками,cheese,albeniz,oveja овечий нарізаний скибочками,1,34.3,0.055,kg,"Сир Albeniz Oveja овечий нарізаний скибочками 34,3% 55г",Сир Oveja овечий нарізаний скибочками,1,2025-11-04,2025-11-04
Novus,cheese|albeniz|козячий нарізаний,cheese,albeniz,козячий нарізаний,1,50.0,0.055,kg,Сир Albeniz козячий нарізаний 50% 55г,Сир козячий нарізаний,1,2025-11-04,2025-11-04
Novus,cheese|albeniz|напівтвердий нарізаний,cheese,albeniz,напівтвердий нарізаний,1,20.0,0.065,kg,Сир Albeniz напівтвердий нарізаний 20% 65г,Сир напівтвердий нарізаний,1,2025-11-04,2025-11-04
Novus,cheese|alpenhain|select camembert,cheese,alpenhain,select camembert,1,50.0,0.125,kg,Сир Alpenhain Select Camembert 50% 125г,Сир Select Camembert,1,2025-12-18,2025-12-18
Novus,cheese|ammerlаnder|гауда нарізаний,cheese,ammerlаnder,гауда нарізаний,1,48.0,0.2,kg,Сир Ammerlаnder Гауда нарізаний 48% 200г,Сир Гауда нарізаний,1,2025-11-04,2025-11-04
Novus,cheese|ammerlаnder|едам нарізаний,cheese,ammerlаnder,едам нарізаний,1,40.0,0.2,kg,Сир Ammerlаnder Едам нарізаний 40% 200г,Сир Едам нарізаний,1,2025-11-04,2025-11-04
Novus,cheese|arla|крем,cheese,arla,крем,1,70.0,,,Крем-сир Arla Натуральний 70%,Крем-сир Натуральний,1,2025-11-04,2025-11-04
Novus,cheese|arla|крем castello ананасом,cheese,arla,крем castello ананасом,1,65.0,,,Сир-крем Arla Castello з ананасом 65%,Сир-крем Castello з ананасом,1,2025-11-04,2025-11-04
Novus,cheese|arnaud|морб,cheese,arnaud,морб,1,45.0,,,Сир Arnaud Морб'є 45%,Сир Морб'є,1,2025-11-04,2025-11-04
Novus,cheese|bayernland|gourmini моцарелла,cheese,bayernland,gourmini моцарелла,1,45.0,,,Сир Bayernland Gourmini Моцарелла 45%,Сир Gourmini Моцарелла,1,2025-11-04,2025-11-04
Novus,cheese|beemster|gouda витриманий,cheese,beemster,gouda витриманий,1,48.0,,,Сир Beemster Gouda витриманий 48%,Сир Gouda витриманий,1,2025-11-04,2025-11-04
Novus,cheese|beemster|royaal гауда місяці витримки,cheese,beemster,royaal гауда місяці витримки,1,48.0,,,Сир Beemster Royaal Гауда 4 місяці витримки 48%,Сир Royaal Гауда 4 місяці витримки,1,2025-11-04,2025-11-04
Novus,cheese|belgomilk|брюгге золотий,cheese,belgomilk,брюгге золотий,1,50.0,,,Сир Belgomilk Брюгге золотий 50%,Сир Брюгге золотий,1,2025-11-04,2025-11-04
Novus,cheese|belgomilk|брюгге престиж,cheese,belgomilk,брюгге престиж,1,50.0,,,Сир Belgomilk Брюгге Престиж 50%,Сир Брюгге Престиж,1,2025-11-04,2025-11-04
Novus,cheese|belgomilk|гауда,cheese,belgomilk,гауда,1,48.0,,,Сир Belgomilk Гауда 48%,Сир Гауда,1,2025-11-04,2025-11-04
Novus,cheese|belgomilk|моцарелла,cheese,belgomilk,моцарелла,1,40.0,,,Сир Belgomilk Моцарелла 40%,Сир Моцарелла,1,2026-01-06,2026-01-06
Novus,cheese|belgomilk|старый брюгге,cheese,belgomilk,старый брюгге,1,50.0,,,Сир Belgomilk Старый Брюгге 50%,Сир Старый Брюгге,1,2025-11-04,2025-11-04
Novus,cheese|bergader|баварія блю ваговий,cheese,bergader,баварія блю ваговий,1,70.0,,,Сир Bergader Баварія Блю 70% ваговий,Сир Баварія Блю ваговий,1,2025-11-04,2025-11-04
Novus,cheese|bergader|баварія блю міні,cheese,bergader,баварія блю міні,1,70.0,0.15,kg,Сир Bergader Баварія Блю міні 70% 150г,Сир Баварія Блю міні,1,2026-01-08,2026-01-08
Novus,cheese|biraghi|gorgonzola dop гран густо,cheese,biraghi,gorgonzola dop гран густо,1,55.0,0.1,kg,Сир Biraghi Gorgonzola DOP Гран Густо 55% 100г,Сир Gorgonzola DOP Гран Густо,1,2025-11-04,2025-11-04
Novus,cheese|biraghi|gran snack,cheese,biraghi,gran snack,1,32.0,0.1,kg,Сир Biraghi Gran Biraghi Snack 32% 100г,Сир Gran Biraghi Snack,1,2025-11-06,2025-11-06
Novus,cheese|biraghi|gran тертий,cheese,biraghi,gran тертий,1,32.0,0.05,kg,Сир Biraghi Gran Biraghi тертий 32% 50г,Сир Gran Biraghi тертий,1,2026-01-08,2026-01-08
Novus,cheese|biraghi|mascari горгонзола маскарпоне,cheese,biraghi,mascari горгонзола маскарпоне,1,50.0,0.2,kg,Сир Biraghi Mascari Горгонзола-маскарпоне 50% 200г,Сир Mascari Горгонзола-маскарпоне,1,2025-11-04,2025-11-04
Novus,cheese|biraghi|горгонзола селекшіон ваговий,cheese,biraghi,горгонзола селекшіон ваговий,1,49.0,,,Сир Biraghi Горгонзола Селекшіон 49% ваговий,Сир Горгонзола Селекшіон ваговий,1,2025-11-04,2025-11-04
