date,product,consumer_linear,consumer_pchip
2023-09-07,sour_cream,104.0134696038258,104.0618956393086
2023-09-08,sour_cream,104.5183150752104,104.6555137959969
2023-09-09,sour_cream,105.023160546595,105.2114700516701
2023-09-10,sour_cream,105.5280060179797,105.6853780636766
2023-09-11,sour_cream,106.0328514893643,106.0328514893643
2023-09-12,sour_cream,106.2166267472592,106.2991796670027
2023-09-13,sour_cream,106.4004020051541,106.5531706513236
2023-09-14,sour_cream,106.584177263049,106.7857161743687
2023-09-15,sour_cream,106.7679525209439,106.9877079681799
2023-09-16,sour_cream,106.9517277788388,107.1500377647991
2023-09-17,sour_cream,107.1355030367338,107.2635972962681
2023-09-18,sour_cream,107.3192782946287,107.3192782946287
2023-09-19,sour_cream,107.3319482830446,107.3386781405024
2023-09-20,sour_cream,107.3446182714604,107.3512859095517
2023-09-21,sour_cream,107.3572882598763,107.3598308763797
2023-09-22,sour_cream,107.3699582482922,107.3670423155894
2023-09-23,sour_cream,107.3826282367081,107.375649501784
2023-09-24,sour_cream,107.395298225124,107.3883817095664
2023-09-25,sour_cream,107.4079682135399,107.4079682135399
2023-09-26,sour_cream,107.62194286123,107.4647813496938
2023-09-27,sour_cream,107.83591750892,107.5835475715426
2023-09-28,sour_cream,108.0498921566101,107.7585273299764
2023-09-29,sour_cream,108.2638668043002,107.9839810758858
2023-09-30,sour_cream,108.4778414519903,108.254169260161
2023-10-01,sour_cream,108.6918160996803,108.5633523336924
2023-10-02,sour_cream,108.9057907473704,108.9057907473704
2023-10-03,sour_cream,109.9852477799366,109.5324777153538
2023-10-04,sour_cream,111.0647048125028,110.5873343093957
2023-10-05,sour_cream,112.144161845069,111.9040127667776
2023-10-06,sour_cream,113.2236188776352,113.3161653247808
2023-10-07,sour_cream,114.3030759102014,114.6574442206869
2023-10-08,sour_cream,115.3825329427676,115.7615016917774
2023-10-09,sour_cream,116.4619899753338,116.4619899753338
2023-10-10,sour_cream,116.7408763636478,116.8690828710822
2023-10-11,sour_cream,117.0197627519618,117.2123062806918
2023-10-12,sour_cream,117.2986491402758,117.5043405943591
2023-10-13,sour_cream,117.5775355285898,117.7578662022804
2023-10-14,sour_cream,117.8564219169038,117.9855634946521
2023-10-15,sour_cream,118.1353083052178,118.2001128616704
2023-10-16,sour_cream,118.4141946935318,118.4141946935318
2023-10-17,sour_cream,118.5932305591502,118.6209500249136
2023-10-18,sour_cream,118.7722664247686,118.8088946505564
2023-10-19,sour_cream,118.9513022903871,118.9837711007509
2023-10-20,sour_cream,119.1303381560055,119.1513219057878
2023-10-21,sour_cream,119.3093740216239,119.3172895959579
2023-10-22,sour_cream,119.4884098872424,119.487416701552
2023-10-23,sour_cream,119.6674457528608,119.6674457528608
2023-10-24,sour_cream,119.862919802419,119.8805518380664
2023-10-25,sour_cream,120.0583938519772,120.1294242307474
2023-10-26,sour_cream,120.2538679015355,120.3890767392891
2023-10-27,sour_cream,120.4493419510937,120.6345231720767
2023-10-28,sour_cream,120.6448160006519,120.8407773374956
2023-10-29,sour_cream,120.8402900502101,120.9828530439311
2023-10-30,sour_cream,121.0357640997684,121.0357640997684
2023-10-31,sour_cream,120.75,120.75
2023-11-01,sour_cream,121.4807689493758,121.0747861997226
2023-11-02,sour_cream,122.2115378987516,121.886751699029
2023-11-03,sour_cream,122.9423068481274,122.9423068481274
2023-11-04,sour_cream,123.6730757975032,123.9978619972258
2023-11-05,sour_cream,124.403844746879,124.8098274965322
2023-11-06,sour_cream,125.1346136962548,125.1346136962548
2023-11-07,sour_cream,124.9448635343291,125.0610371028551
2023-11-08,sour_cream,124.7551133724035,124.8712869409294
2023-11-09,sour_cream,124.5653632104778,124.6118326378882
2023-11-10,sour_cream,124.3756130485522,124.3291436211418
2023-11-11,sour_cream,124.1858628866265,124.0696893181006
2023-11-12,sour_cream,123.9961127247009,123.879939156175
2023-11-13,sour_cream,123.8063625627752,123.8063625627752
2023-11-14,sour_cream,124.3964350930897,123.9634491858346
2023-11-15,sour_cream,124.9865076234042,124.3861820234792
2023-11-16,sour_cream,125.5765801537187,125.0017705284089
2023-11-17,sour_cream,126.1666526840332,125.7374241533236
2023-11-18,sour_cream,126.7567252143476,126.5203523509232
2023-11-19,sour_cream,127.3467977446621,127.2777645739076
2023-11-20,sour_cream,127.9368702749766,127.9368702749766
2023-11-21,sour_cream,128.5182402440468,128.5926015135223
2023-11-22,sour_cream,129.099610213117,129.3413111752625
2023-11-23,sour_cream,129.6809801821872,130.1123399523852
2023-11-24,sour_cream,130.2623501512575,130.8350285370789
2023-11-25,sour_cream,130.8437201203277,131.4387176215317
2023-11-26,sour_cream,131.4250900893979,131.8527478979321
