dataset,raw_product,standardized_product,mapping_basis,mapping_type,ambiguity_flag,n_rows
Prozorro,2025-08-21 00:00:00,other,procurement profile plus tender title,approximate,1,84
Prozorro,2025-08-22 00:00:00,other,procurement profile plus tender title,approximate,1,83
Prozorro,2025-08-23 00:00:00,other,procurement profile plus tender title,approximate,1,10
Prozorro,2025-08-24 00:00:00,other,procurement profile plus tender title,approximate,1,8
Prozorro,2025-08-25 00:00:00,other,procurement profile plus tender title,approximate,1,109
Prozorro,2025-08-26 00:00:00,other,procurement profile plus tender title,approximate,1,99
Prozorro,2025-08-27 00:00:00,other,procurement profile plus tender title,approximate,1,101
Prozorro,2025-08-28 00:00:00,other,procurement profile plus tender title,approximate,1,76
Prozorro,2025-08-29 00:00:00,other,procurement profile plus tender title,approximate,1,68
Prozorro,2025-08-30 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-08-31 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-09-01 00:00:00,other,procurement profile plus tender title,approximate,1,44
Prozorro,2025-09-02 00:00:00,other,procurement profile plus tender title,approximate,1,57
Prozorro,2025-09-03 00:00:00,other,procurement profile plus tender title,approximate,1,67
Prozorro,2025-09-04 00:00:00,other,procurement profile plus tender title,approximate,1,65
Prozorro,2025-09-05 00:00:00,other,procurement profile plus tender title,approximate,1,54
Prozorro,2025-09-06 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-09-07 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-09-08 00:00:00,other,procurement profile plus tender title,approximate,1,63
Prozorro,2025-09-09 00:00:00,other,procurement profile plus tender title,approximate,1,68
Prozorro,2025-09-10 00:00:00,other,procurement profile plus tender title,approximate,1,66
Prozorro,2025-09-11 00:00:00,other,procurement profile plus tender title,approximate,1,44
Prozorro,2025-09-12 00:00:00,other,procurement profile plus tender title,approximate,1,50
Prozorro,2025-09-13 00:00:00,other,procurement profile plus tender title,approximate,1,6
Prozorro,2025-09-14 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-09-15 00:00:00,other,procurement profile plus tender title,approximate,1,50
Prozorro,2025-09-16 00:00:00,other,procurement profile plus tender title,approximate,1,40
Prozorro,2025-09-17 00:00:00,other,procurement profile plus tender title,approximate,1,50
Prozorro,2025-09-18 00:00:00,other,procurement profile plus tender title,approximate,1,51
Prozorro,2025-09-19 00:00:00,other,procurement profile plus tender title,approximate,1,36
Prozorro,2025-09-20 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-09-21 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-09-22 00:00:00,other,procurement profile plus tender title,approximate,1,60
Prozorro,2025-09-23 00:00:00,other,procurement profile plus tender title,approximate,1,53
