date,farmgate_index,farmgate_weight_share,farmgate_n_products,producer_index_weight_share,producer_index_n_products,producer_index,procurement_index,procurement_index_weight_share,procurement_index_n_products,retail_index,retail_index_weight_share,retail_index_n_products,consumer_index_weight_share,consumer_index_n_products,consumer_index,week,downstream_extension
2022-02-13,10.181155587335471,1.0,1,1.0,3,69.97930594058855,,0.0,0,,0.0,0,1.0,3,72.64642798106092,2022-02-07,31.666118663374522
2022-02-14,10.163879122636523,1.0,1,1.0,3,70.10205455288141,,0.0,0,,0.0,0,1.0,3,72.76659101716412,2022-02-14,31.718496971103395
2022-02-15,10.145854202086959,1.0,1,1.0,3,70.19532426179016,,0.0,0,,0.0,0,1.0,3,72.83432888396167,2022-02-14,31.748023478980343
2022-02-16,10.127829281537393,1.0,1,1.0,3,70.28846146223367,,0.0,0,,0.0,0,1.0,3,72.9020335520151,2022-02-14,31.77753551573462
2022-02-17,10.109804360987823,1.0,1,1.0,3,70.3814671611438,,0.0,0,,0.0,0,1.0,3,72.96970520175574,2022-02-14,31.807033160015113
2022-02-18,10.091779440438257,1.0,1,1.0,3,70.47434235298059,,0.0,0,,0.0,0,1.0,3,73.03734401220645,2022-02-14,31.836516489856738
2022-02-19,10.073754519888688,1.0,1,1.0,3,70.56708801994407,,0.0,0,,0.0,0,1.0,3,73.10495016099628,2022-02-14,31.865985582686886
2022-02-20,10.055729599339122,1.0,1,1.0,3,70.6597051321809,,0.0,0,,0.0,0,1.0,3,73.17252382437448,2022-02-14,31.895440515331487
2022-02-21,10.037704678789552,1.0,1,1.0,3,70.75219464798684,,0.0,0,,0.0,0,1.0,3,73.24006517722444,2022-02-21,31.924881364021108
2022-02-22,10.057686609582445,1.0,1,1.0,3,71.05791092031131,,0.0,0,,0.0,0,1.0,3,73.58806634387483,2022-02-21,32.07657287239116
2022-02-23,10.077668540375335,1.0,1,1.0,3,71.36358556019518,,0.0,0,,0.0,0,1.0,3,73.93592452246992,2022-02-21,32.228202053171934
2022-02-24,10.097650471168224,1.0,1,1.0,3,71.6692192257953,,0.0,0,,0.0,0,1.0,3,74.2836415612121,2022-02-21,32.37976971198315
2022-02-25,10.117632401961119,1.0,1,1.0,3,71.97481256131243,,0.0,0,,0.0,0,1.0,3,74.63121927553127,2022-02-21,32.53127664015923
2022-02-26,10.137614332754008,1.0,1,1.0,3,72.2803661973629,,0.0,0,,0.0,0,1.0,3,74.97865944883044,2022-02-21,32.682723615074266
2022-02-27,10.157596263546903,1.0,1,1.0,3,72.58588075133817,,0.0,0,,0.0,0,1.0,3,75.3259638332103,2022-02-21,32.83411140045788
2022-02-28,10.177578194339791,1.0,1,1.0,3,72.8913568277535,,0.0,0,,0.0,0,1.0,3,75.67313415017405,2022-02-28,32.98544074670243
2022-03-01,10.123833188929073,1.0,1,1.0,3,72.69041086732844,,0.0,0,,0.0,0,1.0,3,75.50601817245276,2022-02-28,32.9125959485735
2022-03-02,10.070088183518358,1.0,1,1.0,3,72.48852611876092,,0.0,0,,0.0,0,1.0,3,75.33818673641933,2022-02-28,32.83943928668966
2022-03-03,10.01634317810764,1.0,1,1.0,3,72.28568413025822,,0.0,0,,0.0,0,1.0,3,75.16962713143351,2022-02-28,32.76596522056319
2022-03-04,9.96259817269692,1.0,1,1.0,3,72.08186584563835,,0.0,0,,0.0,0,1.0,3,75.00032628231918,2022-02-28,32.692168050807474
2022-03-05,9.9088531672862,1.0,1,1.0,3,71.87705157707303,,0.0,0,,0.0,0,1.0,3,74.83027073519054,2022-02-28,32.61804191295876
2022-03-06,9.855108161875481,1.0,1,1.0,3,71.67122097626829,,0.0,0,,0.0,0,1.0,3,74.65944664257893,2022-02-28,32.54358077099301
2022-03-07,9.801363156464767,1.0,1,1.0,3,71.46435300397407,,0.0,0,,0.0,0,1.0,3,74.4878397478223,2022-03-07,32.46877841052137
2022-03-08,9.776696076656107,1.0,1,1.0,3,71.46175027736187,,0.0,0,,0.0,0,1.0,3,74.56764761474831,2022-03-07,32.50356615514398
2022-03-09,9.75202899684745,1.0,1,1.0,3,71.4591114365731,,0.0,0,,0.0,0,1.0,3,74.64723852313624,2022-03-07,32.538259328911515
2022-03-10,9.727361917038795,1.0,1,1.0,3,71.45643647583455,,0.0,0,,0.0,0,1.0,3,74.72661328263067,2022-03-07,32.572858284742935
2022-03-11,9.70269483723014,1.0,1,1.0,3,71.453725389314,,0.0,0,,0.0,0,1.0,3,74.80577269621335,2022-03-07,32.60736337265292
2022-03-12,9.678027757421484,1.0,1,1.0,3,71.45097817112033,,0.0,0,,0.0,0,1.0,3,74.88471756028278,2022-03-07,32.641774939786515
2022-03-13,9.653360677612827,1.0,1,1.0,3,71.44819481530378,,0.0,0,,0.0,0,1.0,3,74.96344866473099,2022-03-07,32.67609333045268
2022-03-14,9.628693597804169,1.0,1,1.0,3,71.44537531585505,,0.0,0,,0.0,0,1.0,3,75.04196679302089,2022-03-14,32.71031888615794
2022-03-15,9.630478225051403,1.0,1,1.0,3,71.6974359288278,,0.0,0,,0.0,0,1.0,3,75.4671279884078,2022-03-14,32.89564396322428
2022-03-16,9.632262852298638,1.0,1,1.0,3,71.94934215778244,,0.0,0,,0.0,0,1.0,3,75.89209050115852,2022-03-14,33.08088243578563
2022-03-17,9.63404747954587,1.0,1,1.0,3,72.20109541575889,,0.0,0,,0.0,0,1.0,3,76.31685889634811,2022-03-14,33.266036293729364
2022-03-18,9.635832106793107,1.0,1,1.0,3,72.45269709735658,,0.0,0,,0.0,0,1.0,3,76.74143759691125,2022-03-14,33.45110746498473
2022-03-19,9.63761673404034,1.0,1,1.0,3,72.70414857905233,,0.0,0,,0.0,0,1.0,3,77.16583088924266,2022-03-14,33.6360978179641
2022-03-20,9.639401361287568,1.0,1,1.0,3,72.95545121951228,,0.0,0,,0.0,0,1.0,3,77.59004292852899,2022-03-14,33.821009163887055
2022-03-21,9.641185988534804,1.0,1,1.0,3,73.20660635989617,,0.0,0,,0.0,0,1.0,3,78.0140777438308,2022-03-21,34.00584325899562
2022-03-22,9.640123414467038,1.0,1,1.0,3,73.43137042927242,,0.0,0,,0.0,0,1.0,3,78.40792664668407,2022-03-21,34.17751950571271
2022-03-23,9.639060840399267,1.0,1,1.0,3,73.65600705337967,,0.0,0,,0.0,0,1.0,3,78.80135237819995,2022-03-21,34.34901129471924
2022-03-24,9.637998266331497,1.0,1,1.0,3,73.88051724730448,,0.0,0,,0.0,0,1.0,3,79.19436518382784,2022-03-21,34.520323091941854
2022-03-25,9.636935692263727,1.0,1,1.0,3,74.10490201441307,,0.0,0,,0.0,0,1.0,3,79.58697496767876,2022-03-21,34.69145921451991
2022-03-26,9.635873118195962,1.0,1,1.0,3,74.32916234653383,,0.0,0,,0.0,0,1.0,3,79.9791913070691,2022-03-21,34.86242383714509
2022-03-27,9.634810544128191,1.0,1,1.0,3,74.55329922413627,,0.0,0,,0.0,0,1.0,3,80.37102346631025,2022-03-21,35.03322099807213
2022-03-28,9.633747970060421,1.0,1,1.0,3,74.77731361650544,,0.0,0,,0.0,0,1.0,3,80.76248040978675,2022-03-28,35.203854604819604
2022-03-29,9.647657989813746,1.0,1,1.0,3,75.09340560111738,,0.0,0,,0.0,0,1.0,3,81.2786173345242,2022-03-28,35.42883542713266
2022-03-30,9.661568009567066,1.0,1,1.0,3,75.40938589385286,,0.0,0,,0.0,0,1.0,3,81.7942133133317,2022-03-28,35.65358045453488
2022-03-31,9.675478029320386,1.0,1,1.0,3,75.72525593238545,,0.0,0,,0.0,0,1.0,3,82.30928402797676,2022-03-28,35.87809652260958
2022-04-01,9.658449704302134,1.0,1,1.0,3,75.48169378344818,,0.0,0,,0.0,0,1.0,3,82.04321281151323,2022-03-28,35.76211776153906
2022-04-02,9.64142137928388,1.0,1,1.0,3,75.23784153686633,,0.0,0,,0.0,0,1.0,3,81.77668915354812,2022-03-28,35.645941784078474
2022-04-03,9.624393054265628,1.0,1,1.0,3,74.99369685067775,,0.0,0,,0.0,0,1.0,3,81.50970919775624,2022-03-28,35.52956690928005
2022-04-04,9.607364729247376,1.0,1,1.0,3,74.74925735034604,,0.0,0,,0.0,0,1.0,3,81.24226903052154,2022-04-04,35.41299143122332
2022-04-05,9.620412730950083,1.0,1,1.0,3,74.71507202375403,,0.0,0,,0.0,0,1.0,3,81.2566145337146,2022-04-04,35.419244545368386
2022-04-06,9.63346073265279,1.0,1,1.0,3,74.68077100625746,,0.0,0,,0.0,0,1.0,3,81.27088977096238,2022-04-04,35.425467031032156
2022-04-07,9.646508734355496,1.0,1,1.0,3,74.64635415505234,,0.0,0,,0.0,0,1.0,3,81.28509478738627,2022-04-04,35.43165890788274
2022-04-08,9.659556736058198,1.0,1,1.0,3,74.61182132650833,,0.0,0,,0.0,0,1.0,3,81.29922962786834,2022-04-04,35.43782019548397
2022-04-09,9.672604737760903,1.0,1,1.0,3,74.57717237616482,,0.0,0,,0.0,0,1.0,3,81.313294337052,2022-04-04,35.443950913295616
2022-04-10,9.68565273946361,1.0,1,1.0,3,74.54240715872702,,0.0,0,,0.0,0,1.0,3,81.32728895934284,2022-04-04,35.45005108067378
2022-04-11,9.698700741166316,1.0,1,1.0,3,74.50752552806156,,0.0,0,,0.0,0,1.0,3,81.34121353890927,2022-04-11,35.45612071687122
2022-04-12,9.688178012010988,1.0,1,1.0,3,74.36129817794308,,0.0,0,,0.0,0,1.0,3,81.20299405720537,2022-04-11,35.395871718663535
2022-04-13,9.67765528285566,1.0,1,1.0,3,74.21494684182872,,0.0,0,,0.0,0,1.0,3,81.0646364904705,2022-04-11,35.33556253006386
2022-04-14,9.667132553700332,1.0,1,1.0,3,74.06847087704651,,0.0,0,,0.0,0,1.0,3,80.92614029493757,2022-04-11,35.27519291404757
2022-04-15,9.656609824545004,1.0,1,1.0,3,73.92186963562,,0.0,0,,0.0,0,1.0,3,80.78750492305456,2022-04-11,35.2147626319402
2022-04-16,9.646087095389674,1.0,1,1.0,3,73.77514246420846,,0.0,0,,0.0,0,1.0,3,80.64872982344599,2022-04-11,35.15427144340066
2022-04-17,9.635564366234346,1.0,1,1.0,3,73.62828870404377,,0.0,0,,0.0,0,1.0,3,80.50981444087533,2022-04-11,35.093719106404855
2022-04-18,9.625041637079018,1.0,1,1.0,3,73.48130769086855,,0.0,0,,0.0,0,1.0,3,80.37075821620567,2022-04-18,35.033105377228544
2022-04-19,9.637589072321655,1.0,1,1.0,3,73.53272288806367,,0.0,0,,0.0,0,1.0,3,80.49996133203729,2022-04-18,35.089424198556806
2022-04-20,9.650136507564294,1.0,1,1.0,3,73.583945003841,,0.0,0,,0.0,0,1.0,3,80.62900894763462,2022-04-18,35.14567523831606
2022-04-21,9.66268394280693,1.0,1,1.0,3,73.63497462670861,,0.0,0,,0.0,0,1.0,3,80.75790225046649,2022-04-18,35.201859014116465
2022-04-22,9.675231378049567,1.0,1,1.0,3,73.68581234007684,,0.0,0,,0.0,0,1.0,3,80.88664241325137,2022-04-18,35.25797603713859
2022-04-23,9.687778813292208,1.0,1,1.0,3,73.73645872231803,,0.0,0,,0.0,0,1.0,3,81.01523059421059,2022-04-18,35.31402681224379
2022-04-24,9.700326248534843,1.0,1,1.0,3,73.78691434682482,,0.0,0,,0.0,0,1.0,3,81.14366793731784,2022-04-18,35.37001183808295
2022-04-25,9.712873683777481,1.0,1,1.0,3,73.83717978206866,,0.0,0,,0.0,0,1.0,3,81.27195557254186,2022-04-25,35.42593160720231
2022-04-26,9.653231897242296,1.0,1,1.0,3,73.46318259584747,,0.0,0,,0.0,0,1.0,3,80.83699326067355,2022-04-25,35.23633428542748
2022-04-27,9.59359011070711,1.0,1,1.0,3,73.08915683330898,,0.0,0,,0.0,0,1.0,3,80.40189801722548,2022-04-25,35.046679019617464
2022-04-28,9.533948324171927,1.0,1,1.0,3,72.71510207038531,,0.0,0,,0.0,0,1.0,3,79.96666779257214,2022-04-25,34.85696491635346
2022-04-29,9.474306537636746,1.0,1,1.0,3,72.34101787452525,,0.0,0,,0.0,0,1.0,3,79.53130049348847,2022-04-25,34.6671910632119
2022-04-30,9.414664751101563,1.0,1,1.0,3,71.96690380447978,,0.0,0,,0.0,0,1.0,3,79.09579398194964,2022-04-25,34.47735652824129
2022-05-01,9.355022964566377,1.0,1,1.0,3,71.5927594100809,,0.0,0,,0.0,0,1.0,3,78.66014607388865,2022-04-25,34.28746035942063
2022-05-02,9.295381178031192,1.0,1,1.0,3,71.21858423201337,,0.0,0,,0.0,0,1.0,3,78.2243545379119,2022-05-02,34.09750158409953
2022-05-03,9.335818147641717,1.0,1,1.0,3,71.51813884282019,,0.0,0,,0.0,0,1.0,3,78.71100789619823,2022-05-02,34.30963070620093
2022-05-04,9.376255117252239,1.0,1,1.0,3,71.8176918460005,,0.0,0,,0.0,0,1.0,3,79.19744262527036,2022-05-02,34.52166452921009
2022-05-05,9.416692086862762,1.0,1,1.0,3,72.11724326108565,,0.0,0,,0.0,0,1.0,3,79.68366265635669,2022-05-02,34.73360476672464
