week,standardized_type,series_name,layer,price_usd,n_obs,discount_share
2021-09-28,butter,Producer_UA,upstream,35.48636308653302,7,
2021-09-28,cream,Producer_UA,upstream,18.331298393117947,7,
2021-09-28,hard_cheese,Producer_UA,upstream,35.650123635722586,7,
2021-09-28,milk,Producer_UA,upstream,5.340913194758393,14,
2021-09-28,sour_cream,Producer_UA,upstream,14.130740000127956,7,
2021-10-05,butter,Producer_UA,upstream,35.801737415229084,7,
2021-10-05,cream,Producer_UA,upstream,18.450255683240044,7,
2021-10-05,hard_cheese,Producer_UA,upstream,35.997197938513516,7,
2021-10-05,milk,Producer_UA,upstream,5.406506021316262,14,
2021-10-05,sour_cream,Producer_UA,upstream,14.261813358658538,7,
2021-10-12,butter,Producer_UA,upstream,35.50340282147981,7,
2021-10-12,cream,Producer_UA,upstream,18.397638349003802,7,
2021-10-12,hard_cheese,Producer_UA,upstream,35.91263138970076,7,
2021-10-12,milk,Producer_UA,upstream,5.360186971152851,14,
2021-10-12,sour_cream,Producer_UA,upstream,14.16512159625543,7,
2021-10-19,butter,Producer_UA,upstream,35.46016617876568,7,
2021-10-19,cream,Producer_UA,upstream,18.321335234624517,7,
2021-10-19,hard_cheese,Producer_UA,upstream,36.14011042186615,7,
2021-10-19,milk,Producer_UA,upstream,5.2824588798931185,14,
2021-10-19,sour_cream,Producer_UA,upstream,14.028463657980941,7,
2021-10-26,butter,Producer_UA,upstream,31.67414685755183,7,
2021-10-26,cream,Producer_UA,upstream,16.53273642054889,7,
2021-10-26,hard_cheese,Producer_UA,upstream,32.70080819585237,7,
2021-10-26,milk,Producer_UA,upstream,4.636462423013495,14,
2021-10-26,sour_cream,Producer_UA,upstream,12.370786432749082,7,
2021-11-02,butter,Producer_UA,upstream,28.811534,7,
2021-11-02,cream,Producer_UA,upstream,15.35441,7,
2021-11-02,hard_cheese,Producer_UA,upstream,30.089006,7,
2021-11-02,milk,Producer_UA,upstream,4.296664000000001,14,
2021-11-02,sour_cream,Producer_UA,upstream,11.404805999999999,7,
2021-11-09,butter,Producer_UA,upstream,28.811534,7,
2021-11-09,cream,Producer_UA,upstream,15.35441,7,
2021-11-09,hard_cheese,Producer_UA,upstream,30.089006,7,
2021-11-09,milk,Producer_UA,upstream,4.296664000000001,14,
2021-11-09,sour_cream,Producer_UA,upstream,11.404805999999999,7,
2021-11-16,butter,Producer_UA,upstream,28.811534,7,
2021-11-16,cream,Producer_UA,upstream,15.35441,7,
2021-11-16,hard_cheese,Producer_UA,upstream,30.089006,7,
2021-11-16,milk,Producer_UA,upstream,4.296664000000001,14,
2021-11-16,sour_cream,Producer_UA,upstream,11.404805999999999,7,
2021-11-23,butter,Producer_UA,upstream,28.811534,7,
2021-11-23,cream,Producer_UA,upstream,15.35441,7,
2021-11-23,hard_cheese,Producer_UA,upstream,30.089006,7,
2021-11-23,milk,Producer_UA,upstream,4.296664000000001,14,
2021-11-23,sour_cream,Producer_UA,upstream,11.404805999999999,7,
2021-11-30,butter,Producer_UA,upstream,33.00733759348666,7,
2021-11-30,cream,Producer_UA,upstream,17.948892696787258,7,
2021-11-30,hard_cheese,Producer_UA,upstream,34.6675916515452,7,
2021-11-30,milk,Producer_UA,upstream,4.91972390006534,14,
2021-11-30,sour_cream,Producer_UA,upstream,13.234800393111927,7,
2021-12-07,butter,Producer_UA,upstream,36.303289526224525,7,
2021-12-07,cream,Producer_UA,upstream,19.980742556612046,7,
2021-12-07,hard_cheese,Producer_UA,upstream,37.82100960044,7,
2021-12-07,milk,Producer_UA,upstream,5.493503119515711,14,
2021-12-07,sour_cream,Producer_UA,upstream,14.760643299020506,7,
2021-12-14,butter,Producer_UA,upstream,36.365974777349926,7,
2021-12-14,cream,Producer_UA,upstream,19.93709490320456,7,
2021-12-14,hard_cheese,Producer_UA,upstream,37.93793902780755,7,
2021-12-14,milk,Producer_UA,upstream,5.486483114717082,14,
2021-12-14,sour_cream,Producer_UA,upstream,14.675948640564721,7,
2021-12-21,butter,Producer_UA,upstream,36.578083293778725,7,
2021-12-21,cream,Producer_UA,upstream,19.781817479132165,7,
2021-12-21,hard_cheese,Producer_UA,upstream,38.93955862493112,7,
2021-12-21,milk,Producer_UA,upstream,5.368191464048912,14,
2021-12-21,sour_cream,Producer_UA,upstream,14.315846094586503,7,
2021-12-28,butter,Producer_UA,upstream,32.484730755952896,7,
2021-12-28,cream,Producer_UA,upstream,17.850454646154528,7,
2021-12-28,hard_cheese,Producer_UA,upstream,33.91973460383968,7,
2021-12-28,milk,Producer_UA,upstream,4.848306916319133,14,
2021-12-28,sour_cream,Producer_UA,upstream,12.685300026221274,7,
2022-01-04,butter,Producer_UA,upstream,29.52179043928219,7,
2022-01-04,cream,Producer_UA,upstream,16.516909516914183,7,
2022-01-04,hard_cheese,Producer_UA,upstream,29.991749769424445,7,
2022-01-04,milk,Producer_UA,upstream,4.522871836304938,14,
2022-01-04,sour_cream,Producer_UA,upstream,11.675959660909891,7,
2022-01-11,butter,Producer_UA,upstream,30.21749801247916,7,
2022-01-11,cream,Producer_UA,upstream,16.63457901763889,7,
2022-01-11,hard_cheese,Producer_UA,upstream,30.788877866744492,7,
2022-01-11,milk,Producer_UA,upstream,4.500960005629664,14,
2022-01-11,sour_cream,Producer_UA,upstream,11.709976747419205,7,
2022-01-18,butter,Producer_UA,upstream,30.73725583111919,7,
2022-01-18,cream,Producer_UA,upstream,16.717543207294316,7,
2022-01-18,hard_cheese,Producer_UA,upstream,31.40069358653139,7,
2022-01-18,milk,Producer_UA,upstream,4.551885406141195,14,
2022-01-18,sour_cream,Producer_UA,upstream,11.871399654266726,7,
2022-01-25,butter,Producer_UA,upstream,31.090400841375416,7,
2022-01-25,cream,Producer_UA,upstream,16.827881471090866,7,
2022-01-25,hard_cheese,Producer_UA,upstream,31.21419159621965,7,
2022-01-25,milk,Producer_UA,upstream,4.827575540192471,14,
2022-01-25,sour_cream,Producer_UA,upstream,12.335249984840798,7,
2022-02-01,butter,Producer_UA,upstream,35.52811144971259,7,
2022-02-01,cream,Producer_UA,upstream,19.381244007392407,7,
2022-02-01,hard_cheese,Producer_UA,upstream,35.61090459098082,7,
2022-02-01,milk,Producer_UA,upstream,5.579071709065275,14,
2022-02-01,sour_cream,Producer_UA,upstream,14.375877244763775,7,
2022-02-08,butter,Producer_UA,upstream,38.46488516936306,7,
2022-02-08,cream,Producer_UA,upstream,21.11273561184696,7,
2022-02-08,hard_cheese,Producer_UA,upstream,39.34477093082076,7,
2022-02-08,milk,Producer_UA,upstream,5.902247245259316,14,
2022-02-08,sour_cream,Producer_UA,upstream,15.52492709334086,7,
2022-02-15,butter,Producer_UA,upstream,38.469957812360114,7,
2022-02-15,cream,Producer_UA,upstream,21.075562106596774,7,
2022-02-15,hard_cheese,Producer_UA,upstream,39.29638278211848,7,
2022-02-15,milk,Producer_UA,upstream,5.784583482785682,14,
2022-02-15,sour_cream,Producer_UA,upstream,15.36883376341876,7,
2022-02-22,butter,Producer_UA,upstream,39.265356913099076,7,
2022-02-22,cream,Producer_UA,upstream,21.405393560612964,7,
2022-02-22,hard_cheese,Producer_UA,upstream,39.9346310483578,7,
2022-02-22,milk,Producer_UA,upstream,6.06111488569897,14,
2022-02-22,sour_cream,Producer_UA,upstream,16.00298508585599,7,
2022-03-01,butter,Producer_UA,upstream,39.02165963548017,7,
2022-03-01,cream,Producer_UA,upstream,21.439287474352277,7,
2022-03-01,hard_cheese,Producer_UA,upstream,40.7704937463415,7,
2022-03-01,milk,Producer_UA,upstream,6.090207982110135,14,
2022-03-01,sour_cream,Producer_UA,upstream,15.945309948921091,7,
2022-03-08,butter,Producer_UA,upstream,38.58009647999068,7,
2022-03-08,cream,Producer_UA,upstream,21.434842337936953,7,
2022-03-08,hard_cheese,Producer_UA,upstream,40.561436350156725,7,
2022-03-08,milk,Producer_UA,upstream,6.032075807989459,14,
2022-03-08,sour_cream,Producer_UA,upstream,15.763830711610098,7,
2022-03-15,butter,Producer_UA,upstream,39.24428484918892,7,
2022-03-15,cream,Producer_UA,upstream,21.611221124292097,7,
2022-03-15,hard_cheese,Producer_UA,upstream,40.58164688989327,7,
2022-03-15,milk,Producer_UA,upstream,6.137119990518424,14,
2022-03-15,sour_cream,Producer_UA,upstream,16.143723500274028,7,
2022-03-22,butter,Producer_UA,upstream,40.5018845212447,7,
2022-03-22,cream,Producer_UA,upstream,21.585681685856112,7,
2022-03-22,hard_cheese,Producer_UA,upstream,41.631553463065565,7,
2022-03-22,milk,Producer_UA,upstream,5.990432009416596,14,
2022-03-22,sour_cream,Producer_UA,upstream,16.066738152014405,7,
2022-03-29,butter,Producer_UA,upstream,40.6111444293082,7,
