product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,lag_spread_coef,lag_spread_p,upstream_pos_coef,upstream_pos_p,upstream_neg_abs_coef,upstream_neg_abs_p,asymmetry_pvalue,discount_share_coef,discount_share_p,discount_depth_coef,discount_depth_p,r2,persistent_margin_flag,asymmetric_margin_flag,ljungbox_p,arch_p,jb_p
cheese,CHEESE,procurement_producer,ProZorro / ProducerUA,not_applicable,linear,269,-0.7200387063555196,1.5056000789210112e-22,11.486096487601397,0.15851838787539652,16.54901506902404,0.025732763887196124,0.521530737267905,0.4098959491665976,0.007737079054696223,,,0.3627030254727964,0,0,0.43206221215397883,0.43340311102394247,2.141283409599926e-11
cheese,CHEESE,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,68,-0.5991291449905589,3.4191842450459045e-08,-0.8209054930308359,0.0003512508623706152,0.7536925479046835,3.8904375432134646e-05,2.7615888834648918e-11,-2.6893444598432676,9.564205534151837e-11,,,0.6491950599484724,0,1,0.00018018834735284027,0.047194954378560396,4.508164551896019e-32
cheese,CHEESE,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,68,-0.5921503385736557,1.4136624233713905e-07,-0.8308628583821587,0.0003768750692044977,0.757682604312953,2.577864549220656e-05,7.350373376764356e-11,-2.444987212374204,6.9155043710065806e-09,,,0.6436880392273594,0,1,0.0002439352985291816,0.054006719439386876,2.7525436268702065e-34
cheese,CHEESE,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,57,-0.4169983909817198,0.030411375059635294,-0.5129396372389989,0.006632237600036714,0.9280335046823828,1.2752368765256977e-18,1.0251887619846786e-10,-0.7318963582260984,0.0374158309800712,,,0.7603072510366181,0,1,0.5118241470373579,0.2913210834935678,0.6762185553746076
cheese,CHEESE,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,57,-0.3946246555129868,0.021763466689457785,-0.6628329299847548,2.2458889683920744e-05,0.9539084772275235,2.9066709452227128e-33,2.9481663939962295e-16,-0.573195747875955,0.02519844931008354,,,0.8251454561643432,0,1,0.3368127324932536,0.5888025839103399,0.9356047980673795
cheese,CHEESE,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,49,-0.14660946656007512,0.1219882881014001,-0.8070749371242668,3.4053789798456615e-11,0.9480631304170016,5.412480703093548e-90,9.960981028372987e-42,-0.013277138248097148,0.7969301823473373,,,0.9137730892453049,1,1,0.0041941488809419175,0.436814075749504,0.8747247732723431
cheese,CHEESE,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,49,-0.12277934566780338,0.045556608407414205,-0.8819062444100894,4.428227807523905e-15,0.9587900517541184,3.914155810170103e-95,4.451536038371699e-43,0.08981215019404737,0.20014791524606523,,,0.9428696145403865,0,1,0.0006999823082956229,0.6365170773206362,0.6013763912732042
cheese,CHEESE,novus_procurement_observed,Novus observed / ProZorro,not_applicable,linear,54,-0.5184480314979597,1.3391435438608113e-15,-1.1420949990963871,0.016162732513297338,0.842656719289534,0.006288952136766539,0.0001449757567398109,0.8234796448032238,0.2812564666025722,,,0.40288655452225686,0,1,0.10025518796011841,0.8850463822413213,0.5027240151382938
cheese,CHEESE,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,68,-0.5991291449905589,3.4191842450459045e-08,-0.8209054930308359,0.0003512508623706152,0.7536925479046835,3.8904375432134646e-05,2.7615888834648918e-11,-2.6893444598432676,9.564205534151837e-11,,,0.6491950599484724,0,1,0.00018018834735284027,0.047194954378560396,4.508164551896019e-32
cheese,CHEESE,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,68,-0.5921503385736557,1.4136624233713905e-07,-0.8308628583821587,0.0003768750692044977,0.757682604312953,2.577864549220656e-05,7.350373376764356e-11,-2.444987212374204,6.9155043710065806e-09,,,0.6436880392273594,0,1,0.0002439352985291816,0.054006719439386876,2.7525436268702065e-34
cheese,CHEESE,producer_farmgate,ProducerUA / FarmGateUA,initial,pchip,1477,-0.00038772278441529494,0.893279057629559,-0.28121817804923427,3.318282278892661e-08,0.646252163774538,6.948365040172468e-05,5.146025882555041e-09,-0.015279447534862685,1.8406851787025122e-06,,,0.1627399008107414,1,1,0.0,4.9421985337945784e-287,1.6290639387664358e-63
cheese,CHEESE,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,68,-0.6681025701629788,7.903271269483017e-10,-15.118410252346319,0.6596470674580779,-25.312815095412077,0.19939307703297482,0.7061150712290614,-2.905728069378477,1.3392720193017517e-20,,,0.4913315332361837,0,0,0.0009278765256182114,0.011856276651304773,1.1688543374180867e-42
cheese,CHEESE,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,68,-0.6598383454580523,4.765367588927023e-09,-23.435234958876286,0.4867031449744671,-23.871260987793477,0.22063004344293813,0.9866727372094487,-2.6135768962767605,9.89015321653974e-18,,,0.4698929994163086,0,0,0.001457438431906917,0.013415743200204487,1.1816164969155931e-43
cheese,CHEESE,producer_farmgate,ProducerUA / FarmGateUA,filled,pchip,1477,-0.0013596470264250133,0.6766267976202933,0.11337115822473212,0.21051421300482087,0.4979822733480612,0.007317734961454073,0.05302136439012832,-0.0176400668709338,4.6074821531240885e-09,,,0.05882729158072886,1,1,0.0,2.2263000586504786e-285,2.5345861232158283e-37
cheese,CHEESE,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,68,-0.6782370757545225,1.0820442338229969e-10,-47.480775535542506,0.4566485326683122,-96.17765042195407,0.18147298741055473,0.3394480782627916,-2.7356770888604984,1.0104360791352155e-18,,,0.5021837632164602,0,0,0.0037137558565177252,0.013458112157064614,9.085484243211398e-35
cheese,CHEESE,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,68,-0.6709303522477068,8.595954886674141e-10,-57.86355761295939,0.35197683649221,-94.71954134244046,0.18209630708495284,0.45311828391687003,-2.4453903627261364,1.0304628316275773e-16,,,0.48288333929509464,0,0,0.005257878711752727,0.014445006073979843,8.693672821665547e-36
cheese,CHEESE,procurement_producer,ProZorro / ProducerUA,not_applicable,pchip,269,-0.7216676413391125,1.5668192960984587e-22,10.256576371309214,0.2137774702853421,15.761342369524538,0.0215909249784207,0.49293879622474945,0.4095526269687106,0.0064194019468938705,,,0.3619875993837184,0,0,0.44050445901260493,0.4674028152147861,7.076650480474613e-12
cheese,CHEESE,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,68,-0.5991291449905589,3.4191842450459045e-08,-0.8209054930308359,0.0003512508623706152,0.7536925479046835,3.8904375432134646e-05,2.7615888834648918e-11,-2.6893444598432676,9.564205534151837e-11,,,0.6491950599484724,0,1,0.00018018834735284027,0.047194954378560396,4.508164551896019e-32
cheese,CHEESE,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,68,-0.5921503385736557,1.4136624233713905e-07,-0.8308628583821587,0.0003768750692044977,0.757682604312953,2.577864549220656e-05,7.350373376764356e-11,-2.444987212374204,6.9155043710065806e-09,,,0.6436880392273594,0,1,0.0002439352985291816,0.054006719439386876,2.7525436268702065e-34
cheese,CHEESE,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,57,-0.4169983909817198,0.030411375059635294,-0.5129396372389989,0.006632237600036714,0.9280335046823828,1.2752368765256977e-18,1.0251887619846786e-10,-0.7318963582260984,0.0374158309800712,,,0.7603072510366181,0,1,0.5118241470373579,0.2913210834935678,0.6762185553746076
cheese,CHEESE,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,57,-0.3946246555129868,0.021763466689457785,-0.6628329299847548,2.2458889683920744e-05,0.9539084772275235,2.9066709452227128e-33,2.9481663939962295e-16,-0.573195747875955,0.02519844931008354,,,0.8251454561643432,0,1,0.3368127324932536,0.5888025839103399,0.9356047980673795
cheese,CHEESE,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,49,-0.14660946656007512,0.1219882881014001,-0.8070749371242668,3.4053789798456615e-11,0.9480631304170016,5.412480703093548e-90,9.960981028372987e-42,-0.013277138248097148,0.7969301823473373,,,0.9137730892453049,1,1,0.0041941488809419175,0.436814075749504,0.8747247732723431
cheese,CHEESE,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,49,-0.12277934566780338,0.045556608407414205,-0.8819062444100894,4.428227807523905e-15,0.9587900517541184,3.914155810170103e-95,4.451536038371699e-43,0.08981215019404737,0.20014791524606523,,,0.9428696145403865,0,1,0.0006999823082956229,0.6365170773206362,0.6013763912732042
cheese,CHEESE,novus_procurement_observed,Novus observed / ProZorro,not_applicable,pchip,54,-0.5184480314979597,1.3391435438608113e-15,-1.1420949990963871,0.016162732513297338,0.842656719289534,0.006288952136766539,0.0001449757567398109,0.8234796448032238,0.2812564666025722,,,0.40288655452225686,0,1,0.10025518796011841,0.8850463822413213,0.5027240151382938
cheese,CHEESE,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,68,-0.5991291449905589,3.4191842450459045e-08,-0.8209054930308359,0.0003512508623706152,0.7536925479046835,3.8904375432134646e-05,2.7615888834648918e-11,-2.6893444598432676,9.564205534151837e-11,,,0.6491950599484724,0,1,0.00018018834735284027,0.047194954378560396,4.508164551896019e-32
cheese,CHEESE,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,68,-0.5921503385736557,1.4136624233713905e-07,-0.8308628583821587,0.0003768750692044977,0.757682604312953,2.577864549220656e-05,7.350373376764356e-11,-2.444987212374204,6.9155043710065806e-09,,,0.6436880392273594,0,1,0.0002439352985291816,0.054006719439386876,2.7525436268702065e-34
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,60,-0.5932587484798827,6.744460758036174e-27,-14.561812523087,0.05055103719317726,-29.508220032761056,0.002532590199685359,0.026141080325103892,-0.6992732548863421,6.343481488825421e-08,,,0.6557118067938188,0,1,0.3663224907923371,0.9920659649495247,0.28645435315683465
