model,product,product_label,link,link_direction,price_variant,farm_gate_source,reconstruction_variant,horizon_days,n_obs,coef,pvalue,stderr,r2,core_signal,ljungbox_p,arch_p,jb_p,coef_positive_shock,p_positive_shock,coef_negative_shock_abs,p_negative_shock_abs,asymmetry_pvalue,asymmetry_gap
LP_linear,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,14,254,-2.2206190891362336,0.725703699764725,6.329322626070863,0.2077240723242757,0,4.324764564174038e-11,0.07372390311945065,0.1552969954940486,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,14,254,,,,0.22069486109171288,0,7.103869255500846e-09,0.17348100938498873,0.2106332004760296,16.421314787131934,0.31476126069606736,13.15650266515108,0.22304413718687877,0.8308625614816276,3.264812121980853
LP_linear,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,21,247,-12.545569101621627,0.14997714026842798,8.714547517363465,0.19145736786835998,0,1.1238137150041521e-12,0.06627783168367861,4.927477117150341e-06,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,21,247,,,,0.1947444354302318,0,1.7518848093622607e-11,0.05873705793499426,7.067470562804906e-06,-1.9471068431357068,0.9102692827733802,18.767311686205417,0.15367015138865103,0.24805104085781102,-20.714418529341124
LP_linear,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,0,59,13.010795159747284,0.4204255198693364,16.148772408696402,0.0799129261280509,0,0.05213973320854049,0.6892258146810403,2.7419426822026257e-07,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,0,59,,,,0.10687895317404594,0,0.02492926459045061,0.5279992233472557,1.1560543258543061e-05,41.68348028423944,0.16482846474162616,-0.5614085983553103,0.9624888641946808,0.22020335245550662,42.24488888259475
LP_linear,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,1,56,-1.7303681506083084,0.9077755379322445,14.936950399681347,0.0363126969536649,0,2.671903232293178e-06,0.07547485832152268,1.960176876939902e-06,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,1,56,,,,0.0445314472770596,0,1.1798558057351228e-06,0.07713389780743259,7.185772656261396e-06,21.102909221280292,0.45553709114317686,11.951105501863987,0.45325583122419844,0.7805681753763508,9.151803719416305
LP_linear,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,3,55,-29.51754231196378,0.05045868329059105,15.090344250289581,0.07519635223148957,1,6.346743762485239e-16,0.005354631807884752,0.3555561375846784,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,3,55,,,,0.07519669243415517,0,6.363853955076194e-16,0.0053651851518087814,0.3557572197403533,-29.720435369497352,0.41474583965909195,29.429356154018613,0.2421622698528113,0.062068440771079675,-59.149791523515965
LP_linear,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,7,54,-48.235152321516445,0.001964277800440424,15.581938856925081,0.2062708593088518,1,6.492542419492967e-10,0.002814427135728349,0.033494168008553954,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,7,54,,,,0.2066963873032457,1,8.179392622068583e-10,0.0029723771764645643,0.03321517074065769,-56.111765128286976,0.1520892036235683,44.72664942548474,0.011475464532558235,0.010893476753367026,-100.83841455377171
LP_linear,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,14,49,-40.876547241231854,0.06544438142935298,22.188859367978242,0.19799736409684332,1,0.0026695780350037865,0.15284672268195315,0.15040653790331363,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,14,49,,,,0.21258176652341254,0,0.0037213058211971873,0.23641075148222665,0.2731360385357714,-75.62287420760983,0.19918772532141316,24.871482994003316,0.3285184999467359,0.05566301268409582,-100.49435720161314
LP_linear,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,21,43,-14.186730800831944,0.7100313088206867,38.15544664240842,0.16252674971798053,0,2.597481962318815e-07,0.1364988543120087,0.5005617585369984,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail,forward,retail_observed,initial,linear,21,43,,,,0.16426518433522053,0,2.0804145086061967e-07,0.12932688538661072,0.4892181217385325,-29.32623696412915,0.6656456927037546,7.337240658910087,0.8139619859925097,0.6713601258923951,-36.66347762303924
LP_linear,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,0,59,0.0008340964553476388,0.3618935833058263,0.0009148173534003573,0.7604849683863543,0,0.3699562257567055,0.0017717688631679407,1.0779820346529232e-75,,,,,,
LP_asymmetric,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,0,59,,,,0.7609825277631177,0,0.3890345722677909,0.004474162947910497,3.4681455466175655e-76,0.0012835674388014403,0.5187101666501104,-0.00035355521793930156,0.7671456823857259,0.3514416044925729,0.0016371226567407418
LP_linear,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,1,59,0.0014628513741195806,0.4396700740714282,0.0018930449606679163,0.6574880384608491,0,0.06170510061127595,0.06581781355994334,2.103439571093773e-12,,,,,,
LP_asymmetric,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,1,59,,,,0.6596359567224074,0,0.07159729347366274,0.1662155333265447,6.200613792040207e-12,0.003279734510653328,0.47366056843310145,0.00047962612228388693,0.8785723730702949,0.45640006229367436,0.002800108388369441
LP_linear,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,3,59,0.004839319842458385,0.16754567056404612,0.003506415342606968,0.4422879159840031,0,8.894700949009961e-05,0.005073437240752813,0.007465338245928869,,,,,,
LP_asymmetric,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,3,59,,,,0.45050334259042235,0,0.0002649973251120846,0.008617243348164829,0.019549867564620887,0.011864883496316148,0.23797822105927857,0.0026718948431058895,0.7307219792453497,0.2429284258180863,0.009192988653210258
LP_linear,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,7,59,0.01142429232508611,0.07771764560293103,0.006476043617860659,0.2598883844885528,1,2.6261732994462476e-06,2.0058998674310356e-05,0.2906545968453347,,,,,,
LP_asymmetric,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,7,59,,,,0.2768361016529123,0,1.9675254903068875e-05,3.2611611951176944e-05,0.5032762029389892,0.03153786212462635,0.11615478329482772,0.010079653593062756,0.5720050457132804,0.14970159586520174,0.021458208531563595
LP_linear,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,14,59,0.027701144647030475,0.09044415763095671,0.01636159034598645,0.3351956855017264,1,7.952721667455126e-17,0.0054402386223196195,0.45559003425747047,,,,,,
LP_asymmetric,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,14,59,,,,0.3600741315903049,1,2.9973542770008486e-16,0.021649721686846583,0.3337520310217072,0.06653843563461401,0.0886026626283562,0.0138208235230645,0.626824366371314,0.1369353084417873,0.05271761211154951
LP_linear,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,21,57,0.020406962559634045,0.14915033559154842,0.014146557178720239,0.2901133578084556,0,1.1160724107851214e-23,0.24886689513017785,0.1299697017629384,,,,,,
LP_asymmetric,butter,Butter,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,21,57,,,,0.2946032081636367,0,3.149486530890991e-23,0.228347908243566,0.12176024781111378,0.039274650236368676,0.3124332852007602,-0.0007201669440229097,0.9834691335283269,0.1252440491841332,0.039994817180391586
LP_linear,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,0,1476,0.5303582124859132,4.3675554681209883e-16,0.06525148742016602,0.8589273536175819,1,0.016560973903346213,5.474240977894893e-11,0.0,,,,,,
LP_asymmetric,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,0,1476,,,,0.860765716238341,1,0.006201340828385303,6.72543753117445e-09,0.0,0.5619523796253902,5.30298979727165e-15,-0.479659669101975,1.3157235543095939e-20,1.6168946691974795e-18,1.0416120487273652
LP_linear,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,1,1475,0.9807286007933079,1.3293908188742792e-14,0.1273182343884192,0.7800826228725947,1,4.6940714722831e-44,1.3187957975817773e-53,0.0,,,,,,
LP_asymmetric,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,1,1475,,,,0.7823221282914555,1,3.102121453296701e-46,1.0952437339925014e-48,0.0,1.0472545879871642,1.7070913792115428e-13,-0.8739639648135418,4.765569254456404e-17,5.560281223738809e-17,1.921218552800706
LP_linear,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,3,1473,1.7017681348985327,3.8892881794009816e-10,0.27191712475701235,0.5995427135903391,1,6.089461438689962e-212,8.607023093509221e-137,0.0,,,,,,
LP_asymmetric,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,3,1473,,,,0.6026923812687137,1,3.3369429458322205e-217,7.585066296211422e-127,0.0,1.8482829857618261,3.026557606388326e-08,-1.466313653508914,2.134485153591789e-11,1.4025308358434704e-12,3.31459663927074
LP_linear,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,7,1469,2.4125936630365623,1.8339217945110772e-07,0.4625877580492867,0.31901699124063065,1,0.0,2.870598527281217e-210,0.0,,,,,,
LP_asymmetric,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,7,1469,,,,0.32049663790558336,1,0.0,5.9067526971680515e-205,0.0,2.586442805535338,2.7929236288112025e-07,-2.133263877295667,5.171638469997474e-06,3.184236695799869e-08,4.719706682831005
LP_linear,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,14,1462,2.4302439775754046,1.7903771358627505e-08,0.43157342431738116,0.12347953900303221,1,0.0,1.1230425624514544e-282,0.0,,,,,,
LP_asymmetric,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,14,1462,,,,0.12944360148612555,1,0.0,6.516378264354731e-280,0.0,2.946638603335759,5.741478883464113e-12,-1.599230295286302,0.02644155981234362,1.9114311122831164e-08,4.545868898622061
LP_linear,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,21,1455,2.3450421021242187,5.333319432483751e-08,0.43108785266523886,0.08330162674815189,1,0.0,1.4488652056634518e-286,1.0272095598655251e-257,,,,,,
LP_asymmetric,butter,Butter,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,21,1455,,,,0.09574563439599737,1,0.0,2.6090728079844085e-281,1.027674599809309e-257,3.2383029056440926,1.6820780753959584e-09,-0.8890086478416823,0.3507840959580132,1.8094929355152557e-06,4.127311553485775
LP_linear,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,0,59,13.010795159747284,0.4204255198693364,16.148772408696402,0.0799129261280509,0,0.05213973320854049,0.6892258146810403,2.7419426822026257e-07,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,0,59,,,,0.10687895317404594,0,0.02492926459045061,0.5279992233472557,1.1560543258543061e-05,41.68348028423944,0.16482846474162616,-0.5614085983553103,0.9624888641946808,0.22020335245550662,42.24488888259475
LP_linear,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,1,56,-1.7303681506083084,0.9077755379322445,14.936950399681347,0.0363126969536649,0,2.671903232293178e-06,0.07547485832152268,1.960176876939902e-06,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,1,56,,,,0.0445314472770596,0,1.1798558057351228e-06,0.07713389780743259,7.185772656261396e-06,21.102909221280292,0.45553709114317686,11.951105501863987,0.45325583122419844,0.7805681753763508,9.151803719416305
LP_linear,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,3,55,-29.51754231196378,0.05045868329059105,15.090344250289581,0.07519635223148957,1,6.346743762485239e-16,0.005354631807884752,0.3555561375846784,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,3,55,,,,0.07519669243415517,0,6.363853955076194e-16,0.0053651851518087814,0.3557572197403533,-29.720435369497352,0.41474583965909195,29.429356154018613,0.2421622698528113,0.062068440771079675,-59.149791523515965
LP_linear,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,7,54,-48.235152321516445,0.001964277800440424,15.581938856925081,0.2062708593088518,1,6.492542419492967e-10,0.002814427135728349,0.033494168008553954,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,7,54,,,,0.2066963873032457,1,8.179392622068583e-10,0.0029723771764645643,0.03321517074065769,-56.111765128286976,0.1520892036235683,44.72664942548474,0.011475464532558235,0.010893476753367026,-100.83841455377171
LP_linear,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,14,49,-40.876547241231854,0.06544438142935298,22.188859367978242,0.19799736409684332,1,0.0026695780350037865,0.15284672268195315,0.15040653790331363,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,14,49,,,,0.21258176652341254,0,0.0037213058211971873,0.23641075148222665,0.2731360385357714,-75.62287420760983,0.19918772532141316,24.871482994003316,0.3285184999467359,0.05566301268409582,-100.49435720161314
LP_linear,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,21,43,-14.186730800831944,0.7100313088206867,38.15544664240842,0.16252674971798053,0,2.597481962318815e-07,0.1364988543120087,0.5005617585369984,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,21,43,,,,0.16426518433522053,0,2.0804145086061967e-07,0.12932688538661072,0.4892181217385325,-29.32623696412915,0.6656456927037546,7.337240658910087,0.8139619859925097,0.6713601258923951,-36.66347762303924
LP_linear,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,0,59,0.0008340964553476388,0.3618935833058263,0.0009148173534003573,0.7604849683863543,0,0.3699562257567055,0.0017717688631679407,1.0779820346529232e-75,,,,,,
LP_asymmetric,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,0,59,,,,0.7609825277631177,0,0.3890345722677909,0.004474162947910497,3.4681455466175655e-76,0.0012835674388014403,0.5187101666501104,-0.00035355521793930156,0.7671456823857259,0.3514416044925729,0.0016371226567407418
LP_linear,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,1,59,0.0014628513741195806,0.4396700740714282,0.0018930449606679163,0.6574880384608491,0,0.06170510061127595,0.06581781355994334,2.103439571093773e-12,,,,,,
LP_asymmetric,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,1,59,,,,0.6596359567224074,0,0.07159729347366274,0.1662155333265447,6.200613792040207e-12,0.003279734510653328,0.47366056843310145,0.00047962612228388693,0.8785723730702949,0.45640006229367436,0.002800108388369441
LP_linear,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,3,59,0.004839319842458385,0.16754567056404612,0.003506415342606968,0.4422879159840031,0,8.894700949009961e-05,0.005073437240752813,0.007465338245928869,,,,,,
LP_asymmetric,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,3,59,,,,0.45050334259042235,0,0.0002649973251120846,0.008617243348164829,0.019549867564620887,0.011864883496316148,0.23797822105927857,0.0026718948431058895,0.7307219792453497,0.2429284258180863,0.009192988653210258
LP_linear,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,7,59,0.01142429232508611,0.07771764560293103,0.006476043617860659,0.2598883844885528,1,2.6261732994462476e-06,2.0058998674310356e-05,0.2906545968453347,,,,,,
LP_asymmetric,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,7,59,,,,0.2768361016529123,0,1.9675254903068875e-05,3.2611611951176944e-05,0.5032762029389892,0.03153786212462635,0.11615478329482772,0.010079653593062756,0.5720050457132804,0.14970159586520174,0.021458208531563595
LP_linear,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,14,59,0.027701144647030475,0.09044415763095671,0.01636159034598645,0.3351956855017264,1,7.952721667455126e-17,0.0054402386223196195,0.45559003425747047,,,,,,
LP_asymmetric,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,14,59,,,,0.3600741315903049,1,2.9973542770008486e-16,0.021649721686846583,0.3337520310217072,0.06653843563461401,0.0886026626283562,0.0138208235230645,0.626824366371314,0.1369353084417873,0.05271761211154951
LP_linear,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,21,57,0.020406962559634045,0.14915033559154842,0.014146557178720239,0.2901133578084556,0,1.1160724107851214e-23,0.24886689513017785,0.1299697017629384,,,,,,
LP_asymmetric,butter,Butter,Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,initial,linear,21,57,,,,0.2946032081636367,0,3.149486530890991e-23,0.228347908243566,0.12176024781111378,0.039274650236368676,0.3124332852007602,-0.0007201669440229097,0.9834691335283269,0.1252440491841332,0.039994817180391586
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,0,1476,1.7150721399655704,1.855857711880478e-68,0.0980867755940206,0.8949750370208667,1,0.2586408342155612,0.6610641721273589,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,0,1476,,,,0.894995125140239,1,0.26040847302427467,0.6538765484125433,0.0,1.7269938621934398,6.836704135572355e-64,-1.6942623901431344,1.1653577844717431e-58,9.65977069803141e-70,3.4212562523365744
