product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,mean_log_spread,median_log_spread,sd_log_spread,mean_price_ratio,date_min,date_max
cheese,CHEESE,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,61,-1.268575151202969,-1.317589531112903,0.2674887170362028,0.28123204958363174,2025-10-21,2026-01-08
cheese,CHEESE,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,61,-1.1900172594309941,-1.2615630437150758,0.24370831955269237,0.3042160134261016,2025-10-21,2026-01-08
cheese,CHEESE,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,51,-1.3894472914833904,-1.4223707103587868,0.19064288750899575,0.24921300872542237,2025-10-21,2025-12-13
cheese,CHEESE,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,51,-1.3092415126035226,-1.341737054652846,0.18564327003162212,0.2700247891305599,2025-10-21,2025-12-13
cheese,CHEESE,novus_procurement_observed,Novus observed / ProZorro,not_applicable,pchip,57,-0.133957714107045,-0.31453568724365244,0.7560345802874112,0.8746270482071222,2025-11-04,2026-01-08
cheese,CHEESE,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,71,-1.0117400086146806,-1.2886628858101954,0.6555519264771565,0.36358578644993805,2025-10-21,2026-01-08
cheese,CHEESE,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,71,-0.9598390837959856,-1.2162383488029338,0.6252401153305275,0.3829545046024521,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,64,1.3485863082439749,1.2941488701564339,0.18983957226668646,3.8519761727884787,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,64,1.3704458844469214,1.3354523522954753,0.1783724159020772,3.937105798396235,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,64,1.6275610337999318,1.5864639118319603,0.17373444496134252,5.091441708617515,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,64,1.6494206100028785,1.6105659271329202,0.16275344168278866,5.203963828956739,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,62,-0.428371179227341,-0.45625996059624896,0.23669187524061555,0.651569520837199,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,62,-0.4058064554049446,-0.42597428967269435,0.2284827565065704,0.6664391406370533,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,51,-0.5122281524673894,-0.6274020013634827,0.6427592116438303,0.5991590726293954,2025-10-21,2025-12-13
condensed_milk,Condensed milk,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,51,-0.4304315999932321,-0.4926417880157672,0.6414112375147435,0.6502283955816677,2025-10-21,2025-12-13
condensed_milk,Condensed milk,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,-0.4652421907320651,-0.4769773843980296,0.19892164566340792,0.6279829951092485,2025-10-21,2025-12-13
condensed_milk,Condensed milk,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,-0.4372105214970999,-0.45287679803117076,0.19239576927323274,0.6458354548512968,2025-10-21,2025-12-13
condensed_milk,Condensed milk,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,62,-0.428371179227341,-0.45625996059624896,0.23669187524061555,0.651569520837199,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,62,-0.4058064554049446,-0.42597428967269435,0.2284827565065704,0.6664391406370533,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,64,1.3485500521850033,1.2945115984131674,0.19020827718962302,3.8518365178448857,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,64,1.37040962838795,1.3356476627764786,0.17872330968428274,3.9369630570438674,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,64,1.627448302684647,1.586711657465,0.17389256645572657,5.090867777065874,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,64,1.6493078788875937,1.6101682562536725,0.1628950543261024,5.203377213375934,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,62,-0.428371179227341,-0.45625996059624896,0.23669187524061555,0.651569520837199,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,62,-0.4058064554049446,-0.42597428967269435,0.2284827565065704,0.6664391406370533,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,51,-0.5122281524673894,-0.6274020013634827,0.6427592116438303,0.5991590726293954,2025-10-21,2025-12-13
condensed_milk,Condensed milk,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,51,-0.4304315999932321,-0.4926417880157672,0.6414112375147435,0.6502283955816677,2025-10-21,2025-12-13
condensed_milk,Condensed milk,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,51,-0.4652421907320651,-0.4769773843980296,0.19892164566340792,0.6279829951092485,2025-10-21,2025-12-13
condensed_milk,Condensed milk,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,51,-0.4372105214970999,-0.45287679803117076,0.19239576927323274,0.6458354548512968,2025-10-21,2025-12-13
condensed_milk,Condensed milk,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,62,-0.428371179227341,-0.45625996059624896,0.23669187524061555,0.651569520837199,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,62,-0.4058064554049446,-0.42597428967269435,0.2284827565065704,0.6664391406370533,2025-10-21,2025-12-29
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,70,1.3023115299641328,1.1845559391690457,0.34592749246720383,3.677788167210651,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,70,1.3562117999620389,1.252709046552542,0.3254659125872215,3.881461662995924,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,70,1.578836126938175,1.4746964768269724,0.3382421260938611,4.849308545939842,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,70,1.632736396936081,1.539632755250534,0.3189716282079342,5.117860071690726,2025-10-21,2026-01-08
cream,Cream,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,70,0.4463667497475832,0.4055911630767475,0.46323144917148085,1.5626244535798122,2025-10-21,2026-01-08
cream,Cream,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,70,0.5002670197454894,0.4842708164117908,0.44405042266636924,1.649161570615983,2025-10-21,2026-01-08
cream,Cream,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,63,0.3966369111846958,0.36655026447794725,0.4870690698039294,1.4868159857785237,2025-10-21,2026-01-08
cream,Cream,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,63,0.4732132894657611,0.4335414763478811,0.4692743690091515,1.605143706711612,2025-10-21,2026-01-08
cream,Cream,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,0.28380262647914395,0.3708970008337329,0.3184578183961842,1.328170759141749,2025-10-21,2025-12-13
cream,Cream,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,0.3605089541549856,0.431107538721502,0.3125872014618304,1.4340590991936055,2025-10-21,2025-12-13
cream,Cream,novus_procurement_observed,Novus observed / ProZorro,not_applicable,linear,47,0.7146085881934424,0.8108292010134552,0.5527764712559249,2.043386720023858,2025-11-04,2026-01-08
cream,Cream,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,70,0.4463667497475832,0.4055911630767475,0.46323144917148085,1.5626244535798122,2025-10-21,2026-01-08
cream,Cream,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,70,0.5002670197454894,0.4842708164117908,0.44405042266636924,1.649161570615983,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,70,1.3023210545799877,1.1848371479154658,0.34609375515532875,3.6778231968969615,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,70,1.3562213245778938,1.2530512747906144,0.3256153739741113,3.88149863260328,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,70,1.5787510334694432,1.4745124968331218,0.33825987631599186,4.848895919010895,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,70,1.6326513034673493,1.539686741858674,0.31897916088635714,5.117424593753169,2025-10-21,2026-01-08
cream,Cream,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,70,0.4463667497475832,0.4055911630767475,0.46323144917148085,1.5626244535798122,2025-10-21,2026-01-08
cream,Cream,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,70,0.5002670197454894,0.4842708164117908,0.44405042266636924,1.649161570615983,2025-10-21,2026-01-08
cream,Cream,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,63,0.3966369111846958,0.36655026447794725,0.4870690698039294,1.4868159857785237,2025-10-21,2026-01-08
cream,Cream,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,63,0.4732132894657611,0.4335414763478811,0.4692743690091515,1.605143706711612,2025-10-21,2026-01-08
cream,Cream,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,51,0.28380262647914395,0.3708970008337329,0.3184578183961842,1.328170759141749,2025-10-21,2025-12-13
cream,Cream,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,51,0.3605089541549856,0.431107538721502,0.3125872014618304,1.4340590991936055,2025-10-21,2025-12-13
cream,Cream,novus_procurement_observed,Novus observed / ProZorro,not_applicable,pchip,47,0.7146085881934424,0.8108292010134552,0.5527764712559249,2.043386720023858,2025-11-04,2026-01-08
cream,Cream,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,70,0.4463667497475832,0.4055911630767475,0.46323144917148085,1.5626244535798122,2025-10-21,2026-01-08
cream,Cream,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,70,0.5002670197454894,0.4842708164117908,0.44405042266636924,1.649161570615983,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,producer_farmgate,ProducerUA / FarmGateUA,initial,linear,1478,0.8307121300202325,0.8406031673452199,0.07818040053374951,2.2949524630275566,2021-12-30,2026-01-15
milk,Drinking milk / fermented milk,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,72,1.174810275419834,1.167398777542347,0.16977279478790766,3.2375286468028897,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,72,1.2180007600467926,1.2163895076854736,0.16818265990270484,3.3804226972940183,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,producer_farmgate,ProducerUA / FarmGateUA,filled,linear,1478,1.0701251648140024,1.0638152710548654,0.07523592428465563,2.9157444257473144,2021-12-30,2026-01-15
milk,Drinking milk / fermented milk,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,72,1.4505313563685187,1.4505514054825965,0.16384685451806852,4.265380350145788,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,72,1.4937218409954776,1.5078883696445942,0.16551334408450366,4.453640452714917,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,procurement_producer,ProZorro / ProducerUA,not_applicable,linear,270,0.10693670329684966,0.09901919180465346,0.117768791157258,1.1128638116396172,2025-04-14,2026-01-08
milk,Drinking milk / fermented milk,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,72,0.3003635834261861,0.3094837003922499,0.17873838404240702,1.3503496830978234,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,72,0.34355406805314487,0.3565082633816332,0.18027358734647334,1.4099497536602288,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,72,0.32765072597359457,0.32306877073733076,0.14179949965948072,1.3877041986020064,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,72,0.38382251197521927,0.38041266765642257,0.1367417089011191,1.4678848865708445,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,0.30270666618532416,0.30097159441205257,0.07024661709520373,1.353517373790594,2025-10-21,2025-12-13
milk,Drinking milk / fermented milk,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,0.3663179585909663,0.3565082633816332,0.06601214277001466,1.4424137976085873,2025-10-21,2025-12-13
milk,Drinking milk / fermented milk,novus_procurement_observed,Novus observed / ProZorro,not_applicable,linear,56,0.27361922700897506,0.3619492654486183,0.31070492447782455,1.3147140992977637,2025-11-04,2026-01-08
milk,Drinking milk / fermented milk,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,72,0.3003635834261861,0.3094837003922499,0.17873838404240702,1.3503496830978234,2025-10-21,2026-01-08
