link,link_direction,price_variant,horizon_days,models,products,variants,mean_coef,median_coef,mean_abs_coef,sig_share,core_share,median_n_obs
ProZorro -> Retail,forward,retail_observed,1,12,6,2,0.03571955278283386,0.02470433204952498,0.14977539422040578,0.16666666666666666,0.16666666666666666,59.5
ProZorro -> Retail matched,forward,retail_matched_baseline,1,12,6,2,-0.17772237639411814,-0.0024048176671092247,0.24594251937250447,0.16666666666666666,0.16666666666666666,51.0
ProZorro -> Retail matched,forward,retail_matched_observed,1,12,6,2,-0.20025068139264168,-0.02276296099751694,0.2475452484127335,0.16666666666666666,0.16666666666666666,51.0
ProZorro -> Retail optimal,forward,retail_optimal_baseline,1,12,6,2,0.04402286106293505,0.027223712213728473,0.14399761489283605,0.16666666666666666,0.16666666666666666,59.5
ProZorro -> Retail optimal,forward,retail_optimal_observed,1,12,6,2,0.03571955278283386,0.02470433204952498,0.14977539422040578,0.16666666666666666,0.16666666666666666,59.5
ProZorro -> Silpo,forward,silpo_baseline,1,12,6,2,0.011304479354933075,0.026691114184820317,0.03969086185437898,0.0,0.0,45.0
ProZorro -> Silpo,forward,silpo_observed,1,12,6,2,-0.006001141677803278,0.018349278279615355,0.04595358645861992,0.0,0.0,45.0
ProducerUA -> FarmGateUA,reverse,processor_price,1,20,5,2,1.3935405066337236,1.2934961100005682,1.3935405066337239,1.0,1.0,1475.0
ProducerUA -> ProZorro,forward,procurement_price,1,10,5,2,-3.374626968021441,-2.5581448767580524,6.273427546013796,0.2,0.2,267.0
Retail -> FarmGateUA,reverse,retail_observed,1,36,9,2,0.0007852479124314756,0.0006756867547581516,0.0007906794460741909,0.0,0.0,60.0
Retail -> ProZorro,reverse,retail_baseline,1,12,6,2,-0.031036624153347393,0.008256642210351578,0.07897629487312897,0.0,0.0,61.5
Retail -> ProZorro,reverse,retail_observed,1,12,6,2,-0.04408267048042211,-0.023340207763576665,0.06000815508771314,0.0,0.0,61.5
Retail matched -> ProZorro,reverse,retail_matched_baseline,1,12,6,2,-0.12335971847252057,-0.07580691170158753,0.15654855697307749,0.16666666666666666,0.16666666666666666,54.0
Retail matched -> ProZorro,reverse,retail_matched_observed,1,12,6,2,-0.09964648912864194,-0.09254995301394216,0.15652362199060577,0.16666666666666666,0.16666666666666666,54.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,1,36,9,2,0.000740926168069627,0.0006756867547581516,0.0007818944972415036,0.0,0.0,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,1,12,6,2,-0.031036624153347393,0.008256642210351578,0.07897629487312897,0.0,0.0,61.5
Retail optimal -> ProZorro,reverse,retail_optimal_observed,1,12,6,2,-0.04408267048042211,-0.023340207763576665,0.06000815508771314,0.0,0.0,61.5
Silpo -> ProZorro,reverse,silpo_baseline,1,12,6,2,-0.07988265211798203,-0.049615490879371074,0.18281899640816246,0.0,0.0,47.0
Silpo -> ProZorro,reverse,silpo_observed,1,12,6,2,-0.15732859049905154,-0.1430963109579754,0.24998946959240312,0.0,0.0,47.0
FarmGateUA -> ProZorro,forward,procurement_price,3,28,7,2,6.047414415861097,2.3324706617125184,20.550349982503754,0.2857142857142857,0.2857142857142857,265.0
FarmGateUA -> ProducerUA,forward,processor_price,3,20,5,2,3.8859177013804116,3.3929822836737875,3.8859177013804116,1.0,1.0,1473.0
FarmGateUA -> Retail,forward,retail_observed,3,36,9,2,6.19265985283823,11.64610528697646,32.15197979429231,0.3333333333333333,0.3333333333333333,56.0
