region,product,price_median,price_mean,price_std,n_obs,cv
Одеська,Вершки,49.6,53.57147540983607,21.220132599897713,122,0.3961087955401273
Одеська,Масло вершкове,473.4000000000001,450.75127272727275,89.65352254015508,165,0.19889799089796467
Одеська,Молоко питне,51.0,52.04528846153846,10.370885119815437,104,0.1992665508517555
Одеська,Сир кисломолочний,185.64,179.73567567567568,53.06383810198913,37,0.2952326403898815
Одеська,Сир твердий,324.0,318.1818918918919,63.23387628645116,37,0.19873499371842324
Одеська,Сметана,160.4,165.26875,21.449196353093242,32,0.1297837392313625
Полтавська,Інше/невідомо,5.76,5.841884816753926,0.8139200835785212,191,0.1393249112417078
Полтавська,Вершки,35.94,42.2519801980198,20.29114082646917,101,0.48024117997243937
Полтавська,Масло вершкове,396.0,378.38451977401127,88.01774538875222,177,0.23261455157129707
Полтавська,Молоко питне,41.7,40.57826530612245,5.051097875048551,98,0.1244779153801442
Полтавська,Сир кисломолочний,142.2,132.2087951807229,38.56105533792625,83,0.2916678522424714
Полтавська,Сир твердий,260.4,279.5288505747127,66.8772215266796,87,0.23924979975834232
Полтавська,Сметана,107.7,104.51125,21.334270438927373,32,0.204133721861784
Рівненська,Інше/невідомо,5.600000000000001,5.685764705882353,0.7961310858661108,85,0.14002181360801882
Рівненська,Вершки,34.08,34.8876,5.0725606623745145,50,0.1453972374819281
Рівненська,Масло вершкове,341.0,332.056875,59.77318639348037,80,0.18000888068792545
Рівненська,Молоко питне,38.94,41.25492063492064,12.954955942084151,63,0.31402207888671346
Рівненська,Сир кисломолочний,134.76,125.5492,32.94264889167233,25,0.26238836162773105
Рівненська,Сир твердий,248.48,260.90645161290325,59.46114841072767,31,0.22790217736335572
Рівненська,Сметана,108.0,105.26533333333333,19.33219737221031,15,0.18365207955968704
Сумська,Інше/невідомо,6.14,6.043289473684211,0.8915460551317874,76,0.14752661758369623
Сумська,Вершки,36.55,39.3502380952381,16.012163895765458,42,0.40691402824582
Сумська,Масло вершкове,378.0,367.1958024691358,72.07924900524766,81,0.19629649500502172
Сумська,Молоко питне,39.15,44.75325,25.441651029667565,40,0.568487227847532
Сумська,Сир кисломолочний,141.0,144.24346153846153,36.063336611279624,26,0.25001713233056033
Сумська,Сир твердий,293.3,285.78749999999997,44.462653331805875,24,0.15557941943509035
Сумська,Сметана,118.1,124.85636363636364,22.190742502535894,22,0.1777301681407689
Тернопільська,Інше/невідомо,5.9,5.82968085106383,0.77868299639628,94,0.13357214850864127
Тернопільська,Вершки,39.96,44.319577464788736,22.258116557248425,71,0.5022186092575494
