product,standardized_type,left,right,metric,pearson,spearman,n_obs
Сир твердий,hard_cheese,ConsumerUA,EU,dlog_price,0.10837379236475268,0.14299644501401412,844
Сир твердий,hard_cheese,ConsumerUA,Novus,dlog_price,-0.007880867868376395,0.030427350427350425,26
Сир твердий,hard_cheese,ConsumerUA,ProZorro,dlog_price,-0.04595334484221461,-0.017859559795043667,155
Сир твердий,hard_cheese,ConsumerUA,ProducerUA,dlog_price,0.9939384822255739,0.9777627774882008,1792
Сир твердий,hard_cheese,ConsumerUA,Silpo,dlog_price,0.0400891239939267,0.04717853839037928,46
Сир твердий,hard_cheese,EU,Novus,dlog_price,0.2039789806259043,0.3578947368421052,19
Сир твердий,hard_cheese,EU,ProZorro,dlog_price,0.04584136444891568,0.04433956457238528,138
Сир твердий,hard_cheese,EU,ProducerUA,dlog_price,0.08717778736538676,0.1625492539308249,833
Сир твердий,hard_cheese,EU,Silpo,dlog_price,0.03424883247235108,-0.0018315018315018313,27
Сир твердий,hard_cheese,Novus,ProZorro,dlog_price,-0.4364076760746275,-0.45563909774436084,20
Сир твердий,hard_cheese,Novus,ProducerUA,dlog_price,-0.02536243414207195,-0.010443868185174138,24
Сир твердий,hard_cheese,Novus,Silpo,dlog_price,0.4116177377888409,0.37500000000000006,17
Сир твердий,hard_cheese,ProZorro,ProducerUA,dlog_price,-0.06512548462009576,-0.04369513041773783,145
Сир твердий,hard_cheese,ProZorro,Silpo,dlog_price,-0.346987847395004,-0.3010011123470523,30
Сир твердий,hard_cheese,ProducerUA,Silpo,dlog_price,0.043804731289669566,0.07582844004211663,46
Сметана,sour_cream,ConsumerUA,Novus,log_price,-0.3298339991044604,-0.1349862258953168,13
Сметана,sour_cream,ConsumerUA,ProZorro,log_price,0.03324401201812319,0.029721685764349724,188
Сметана,sour_cream,ConsumerUA,ProducerUA,log_price,0.9959575722780988,0.9950278292766597,1793
Сметана,sour_cream,ConsumerUA,Silpo,log_price,-0.031982692117821857,-0.030480631191816838,48
Сметана,sour_cream,Novus,ProZorro,log_price,-0.014722200230576415,0.2451842639184212,12
Сметана,sour_cream,Novus,ProducerUA,log_price,-0.48927095303380097,-0.4145796632961667,11
Сметана,sour_cream,ProZorro,ProducerUA,log_price,0.026312268813432495,0.032705935357932654,178
Сметана,sour_cream,ProZorro,Silpo,log_price,0.0011998005365556948,-0.15461210198052305,38
Сметана,sour_cream,ProducerUA,Silpo,log_price,-0.04355631954608532,-0.12308237189417971,48
Сметана,sour_cream,ConsumerUA,ProZorro,dlog_price,0.04572691727180564,-0.0126633202059808,143
Сметана,sour_cream,ConsumerUA,ProducerUA,dlog_price,0.9950944031030885,0.996752902828907,1792
Сметана,sour_cream,ConsumerUA,Silpo,dlog_price,0.009788413569964674,0.0950137161478859,46
Сметана,sour_cream,ProZorro,ProducerUA,dlog_price,0.03077174908758272,-0.021704798850361442,133
Сметана,sour_cream,ProZorro,Silpo,dlog_price,0.04957796383658239,0.04926108374384235,29
Сметана,sour_cream,ProducerUA,Silpo,dlog_price,0.026949734152234225,0.08960159330041555,46
