dataset,product,left,right,metric,pearson,spearman,n_obs
Silpo,Інше/невідомо,Bob,Слов'яночка,log_price,-0.46033931215851853,-0.46597579661453786,48
Silpo,Інше/невідомо,Bob,Снек,log_price,-0.25451984460369687,-0.2987825549367399,47
Silpo,Інше/невідомо,Bob,Сільпо,log_price,-0.054082237021269054,-0.1153052125339317,41
Silpo,Інше/невідомо,Bob,Турецький,log_price,-0.08080455029672451,-0.11178873191094757,48
Silpo,Інше/невідомо,Bob,Тістечко,log_price,0.05099802328099736,-0.04016448135536499,48
Silpo,Інше/невідомо,Bob,Ферма,log_price,-0.20596471049771925,-0.1940159904765678,48
Silpo,Інше/невідомо,Bob,Це – яйце!,log_price,-0.2512502744959308,-0.21931418542539252,47
Silpo,Інше/невідомо,Bob,Це-Яйце!,log_price,0.09407648248319025,0.2781757172209642,48
Silpo,Інше/невідомо,Bob,Чарівний Птах,log_price,-0.08911029813493433,0.04846721032746101,48
Silpo,Інше/невідомо,Bob,Чарівний птах,log_price,0.3299772643826314,0.21448726864969253,47
Silpo,Інше/невідомо,Bob,Чумак,log_price,-0.09839106459866451,0.0022110732096014838,48
Silpo,Інше/невідомо,Bob,Яготинська,log_price,-0.1779764405638538,-0.3475045184665191,48
Silpo,Інше/невідомо,Bob,Яготинський,log_price,,,24
Silpo,Інше/невідомо,Bob,Яйця,log_price,-0.007081881662802269,-0.07763289632499938,48
Silpo,Інше/невідомо,Bob,Ясенсвіт,log_price,0.03473301530535253,0.12534733598541584,48
Silpo,Інше/невідомо,Danone,Farm,log_price,-0.26181691706602583,-0.1998511340020508,48
Silpo,Інше/невідомо,Danone,Latteria,log_price,-0.07707077037866844,-0.07701435380344464,48
Silpo,Інше/невідомо,Danone,Muller,log_price,0.07441628398669217,0.17937549996213045,48
Silpo,Інше/невідомо,Danone,Organick,log_price,-0.06788846610009422,-0.04475828413581607,48
Silpo,Інше/невідомо,Danone,Premialle,log_price,-0.17158999950674583,-0.09852561388594883,48
Silpo,Інше/невідомо,Danone,Агрокомплекс Фенікс,log_price,0.12699193209107462,0.06987743371768113,48
Silpo,Інше/невідомо,Danone,Айран,log_price,-0.03630756278818187,-0.02028541465670332,48
Silpo,Інше/невідомо,Danone,Бариста,log_price,-0.06887573293662867,-0.15790241734662838,48
Silpo,Інше/невідомо,Danone,Бісквіт,log_price,-0.09316726425854804,-0.1876358107940343,48
Silpo,Інше/невідомо,Danone,Волошкове поле,log_price,,,48
Silpo,Інше/невідомо,Danone,Волошковое поле,log_price,-0.3125257115206046,-0.25678808792238506,48
Silpo,Інше/невідомо,Danone,Від доброї курки,log_price,-0.08081246274433991,-0.08363903676656557,48
Silpo,Інше/невідомо,Danone,ДанКолекція,log_price,0.2609849586562482,0.18052840800795697,48
Silpo,Інше/невідомо,Danone,Даніссімо,log_price,-0.303036393674692,-0.36211899967731725,48
Silpo,Інше/невідомо,Danone,Деліссімо,log_price,-0.1602266960175084,-0.029572302744996715,48
Silpo,Інше/невідомо,Danone,Дольче,log_price,0.17193052942359321,0.2081966631012107,48
Silpo,Інше/невідомо,Danone,Закваска,log_price,-0.12285214584739457,-0.10489871843511993,48
Silpo,Інше/невідомо,Danone,Злагода,log_price,-0.08011629257217191,-0.1081301311956116,48
Silpo,Інше/невідомо,Danone,Карамель,log_price,-0.038165280916954474,-0.06155424462844984,48
Silpo,Інше/невідомо,Danone,Квочка,log_price,-0.024388305484243637,0.05736291205436432,48
Silpo,Інше/невідомо,Danone,Коктейль,log_price,0.3711020127566753,0.3495069172943942,48
Silpo,Інше/невідомо,Danone,Лавка Традицій,log_price,-0.191491837311416,-0.15485404840867617,48
Silpo,Інше/невідомо,Danone,Лавка традицій,log_price,-0.1022780435225888,-0.07952972502473925,48
Silpo,Інше/невідомо,Danone,Малина,log_price,0.21401898718655277,0.22719440728797136,48
Silpo,Інше/невідомо,Danone,Мацоні,log_price,0.2064343943849486,0.19023322060103565,48
Silpo,Інше/невідомо,Danone,Напій,log_price,-0.05469300646247139,-0.08568480098348916,48
Silpo,Інше/невідомо,Danone,Персик і маракуя,log_price,3.924164251317761e-16,,48
Silpo,Інше/невідомо,Danone,Повна Чаша,log_price,-0.03445591048754894,-0.05574255012174253,48
Silpo,Інше/невідомо,Danone,Полуниця,log_price,-0.06354666516617778,-0.09484473760422182,48
Silpo,Інше/невідомо,Danone,Премія,log_price,0.1356695518907704,0.11673662820832693,48
Silpo,Інше/невідомо,Danone,ПростоНаше,log_price,-0.05047221418105156,-0.022408735365529574,48
Silpo,Інше/невідомо,Danone,РадиМо,log_price,-0.14266459034596465,-0.14277572531199786,48
Silpo,Інше/невідомо,Danone,Слов'яночка,log_price,0.13691184320410982,0.2854047017615364,48
Silpo,Інше/невідомо,Danone,Снек,log_price,-0.019250443114837014,0.020470365911224395,47
Silpo,Інше/невідомо,Danone,Сільпо,log_price,0.04212938922691777,0.16379374086414467,41
Silpo,Інше/невідомо,Danone,Турецький,log_price,-0.17921860722086613,-0.1187204755367187,48
Silpo,Інше/невідомо,Danone,Тістечко,log_price,0.012394320097992864,-0.008906509366391367,48
Silpo,Інше/невідомо,Danone,Ферма,log_price,0.23366826021736806,0.20621077885350503,48
Silpo,Інше/невідомо,Danone,Це – яйце!,log_price,-0.005715710136475289,-0.0041366544372025225,47
Silpo,Інше/невідомо,Danone,Це-Яйце!,log_price,-0.14413139499129812,-0.23519842096761884,48
Silpo,Інше/невідомо,Danone,Чарівний Птах,log_price,-0.05998138914525874,-0.13358188839382745,48
Silpo,Інше/невідомо,Danone,Чарівний птах,log_price,-0.3498977935892777,-0.3924186546346084,47
