term,coef,pvalue,n_obs,r2,standardized_type
r_Вінницька,-0.006017586722697212,0.9808397096358076,538,0.012087782189825091,cream
r_Дніпропетровська,0.016530680096733294,0.9465177553644565,538,0.012087782189825091,cream
r_Донецька,-0.18540629288578475,0.516295972097315,538,0.012087782189825091,cream
r_Житомирська,0.010751404374664599,0.9673956949349002,538,0.012087782189825091,cream
r_Закарпатська,0.023604619048564503,0.9287575056047505,538,0.012087782189825091,cream
r_Запорізька,0.016217886112131104,0.9534398152371572,538,0.012087782189825091,cream
r_Київська,0.0207602423325408,0.9345785833663545,538,0.012087782189825091,cream
r_Кіровоградська,0.024050882804916737,0.9264448632246539,538,0.012087782189825091,cream
r_Львівська,0.012879777691402439,0.9593790831037287,538,0.012087782189825091,cream
r_Миколаївська,0.0141907269327579,0.9578388498430291,538,0.012087782189825091,cream
r_Одеська,-0.015032286284090488,0.9503799321775229,538,0.012087782189825091,cream
r_Полтавська,0.007044364944817135,0.9770634604800832,538,0.012087782189825091,cream
r_Рівненська,0.030720179744340208,0.8975396661748676,538,0.012087782189825091,cream
r_Сумська,-0.049515767128674136,0.8464772290991457,538,0.012087782189825091,cream
r_Тернопільська,0.01970063904306015,0.9370471647980155,538,0.012087782189825091,cream
r_Харківська,0.01886982987560545,0.9409292560823115,538,0.012087782189825091,cream
r_Херсонська,0.3785523181421241,0.4186435541812328,538,0.012087782189825091,cream
r_Хмельницька,0.037077402166831995,0.9172950906852817,538,0.012087782189825091,cream
r_Черкаська,0.007892998967914623,0.9739060132504441,538,0.012087782189825091,cream
r_Чернівецька,0.013121542762258163,0.9565242461329994,538,0.012087782189825091,cream
r_Чернігівська,0.0193759916236824,0.9411823385978336,538,0.012087782189825091,cream
dlog_bm,1.2799141770103784,0.12915974443467468,423,0.015047351256437747,hard_cheese
r_Івано-Франківська,0.005904956487236916,0.9257066723724381,423,0.015047351256437747,hard_cheese
r_Волинська,0.006666791780920834,0.9226343008404541,423,0.015047351256437747,hard_cheese
r_Вінницька,0.007810335297394305,0.8782176870121249,423,0.015047351256437747,hard_cheese
r_Дніпропетровська,-0.009206846425274544,0.8957147301431343,423,0.015047351256437747,hard_cheese
r_Донецька,-0.08086298261511854,0.705260295511438,423,0.015047351256437747,hard_cheese
r_Житомирська,-0.004031681773698234,0.9495859519737775,423,0.015047351256437747,hard_cheese
r_Закарпатська,0.045471475335956114,0.540074072251385,423,0.015047351256437747,hard_cheese
r_Запорізька,-0.07361546342901773,0.5948572696075904,423,0.015047351256437747,hard_cheese
r_Київська,0.002888821868232843,0.9530702446881175,423,0.015047351256437747,hard_cheese
r_Кіровоградська,-0.01118542937688559,0.9230092139315057,423,0.015047351256437747,hard_cheese
r_Луганська,-0.18802768950550836,0.0006799326684931353,423,0.015047351256437747,hard_cheese
r_Львівська,0.022719854641974117,0.7891075467964286,423,0.015047351256437747,hard_cheese
r_Миколаївська,0.019368559129814868,0.8657893060247446,423,0.015047351256437747,hard_cheese
r_Одеська,0.010606564153024942,0.8722887570104126,423,0.015047351256437747,hard_cheese
r_Полтавська,0.01681543632974583,0.7742474486065665,423,0.015047351256437747,hard_cheese
r_Рівненська,-0.006868791944417359,0.938018096213985,423,0.015047351256437747,hard_cheese
r_Сумська,-0.013731023759212379,0.80154264265783,423,0.015047351256437747,hard_cheese
r_Тернопільська,-0.005853941635239279,0.9494243924303674,423,0.015047351256437747,hard_cheese
r_Харківська,0.003122491511394543,0.9539493553354406,423,0.015047351256437747,hard_cheese
r_Хмельницька,0.006341963826474759,0.8913945961455366,423,0.015047351256437747,hard_cheese
r_Черкаська,-0.029694936275270877,0.7221959889702754,423,0.015047351256437747,hard_cheese
