date,product,retailer,price_uah_kg,package_price_uah,discount_incidence,discount_pct,n_sku,n_rows,ok_uah_kg_share
2025-12-09,condensed_milk,novus,220.6551724137931,63.99,0.0,,1,1,1.0
2025-12-09,condensed_milk,silpo,,64.49,0.2608695652173913,18.018271332796072,31,92,0.0
2025-12-09,cottage_cheese,novus,277.54393939393935,86.99,0.0,,2,2,1.0
2025-12-09,cottage_cheese,silpo,,63.99,0.22274881516587677,23.28859325426483,71,211,0.0
2025-12-09,cream,novus,208.0,104.0,0.0,,3,3,1.0
2025-12-09,cream,silpo,,52.99,0.3492822966507177,20.440168503273675,67,209,0.0
2025-12-09,drinking_milk,novus,72.40229885057471,62.99,0.0,,1,1,1.0
2025-12-09,drinking_milk,silpo,,62.24,0.25585284280936454,20.9755020865565,200,598,0.0
2025-12-09,hard_cheese,novus,844.9666666666667,189.0,0.0,,3,3,0.6666666666666666
2025-12-09,kefir,novus,57.45977011494253,49.99,0.0,,1,1,1.0
2025-12-09,kefir,silpo,,54.99,0.2744360902255639,20.129953650818567,89,266,0.0
2025-12-09,other_dairy,novus,149.5597222222222,84.99,0.0,,3,3,0.6666666666666666
2025-12-09,other_dairy,silpo,,59.99,0.25960061443932414,20.89942580632957,217,651,0.0
2025-12-09,soft_cheese,novus,651.4285714285714,114.0,0.0,,7,7,0.7142857142857143
2025-12-09,soft_cheese,silpo,,53.99,0.3511705685618729,19.806223189294506,101,299,0.0
2025-12-09,sour_cream,novus,168.5428571428572,58.99,0.0,,1,1,1.0
2025-12-09,sour_cream,silpo,,54.99,0.2879746835443038,20.124330325930902,105,316,0.0
2025-12-09,yogurt,novus,124.9666666666667,37.49,0.0,,5,5,1.0
2025-12-09,yogurt,silpo,,54.99,0.2870493991989319,21.674623032792336,496,1498,0.0
2025-12-16,butter,novus,770.0,154.0,0.0,,1,1,1.0
2025-12-16,condensed_milk,novus,187.98,93.99,0.0,,1,1,1.0
2025-12-16,cottage_cheese,novus,326.6333333333333,97.99,0.0,,1,1,1.0
2025-12-16,cream,novus,328.0,164.0,0.0,,1,1,1.0
2025-12-16,drinking_milk,novus,105.10833333333332,48.239999999999995,0.0,,2,2,1.0
2025-12-16,hard_cheese,novus,,719.0,0.0,,3,3,0.0
2025-12-16,kefir,novus,79.29885057471263,68.99,0.0,,3,3,1.0
2025-12-16,soft_cheese,novus,671.3885714285714,109.0,0.0,,5,5,0.8
2025-12-16,sour_cream,novus,208.3,64.49,0.0,,4,4,1.0
2025-12-16,yogurt,novus,134.9666666666667,34.99,0.0,,5,5,1.0
2025-12-23,butter,novus,633.3333333333334,114.0,0.0,,1,1,1.0
2025-12-23,condensed_milk,novus,733.2222222222222,65.99,0.0,,1,1,1.0
2025-12-23,cottage_cheese,novus,403.5571428571428,98.495,0.0,,2,2,1.0
2025-12-23,cream,novus,258.0,129.0,0.0,,1,1,1.0
2025-12-23,drinking_milk,novus,71.56842105263158,67.99,0.0,,7,7,1.0
2025-12-23,hard_cheese,novus,,639.0,0.0,,2,2,0.0
2025-12-23,other_dairy,novus,374.14166666666665,81.49,0.0,,4,4,1.0
2025-12-23,soft_cheese,novus,483.41666666666674,89.99,0.0,,13,13,0.7692307692307693
2025-12-23,sour_cream,novus,243.3,72.99,0.0,,1,1,1.0
2025-12-23,yogurt,novus,144.28357142857146,38.24,0.0,,6,6,1.0
2026-01-06,butter,novus,633.3333333333334,114.0,0.0,,19,19,1.0
2026-01-06,condensed_milk,novus,209.0,99.99,0.0,,7,7,1.0
2026-01-06,cottage_cheese,novus,284.25714285714287,85.99,0.0,,18,18,1.0
2026-01-06,cream,novus,373.2,51.99,0.0,,21,21,1.0
2026-01-06,drinking_milk,novus,67.78563218390805,60.99,0.0,,31,31,0.967741935483871
2026-01-06,hard_cheese,novus,654.9216216216216,124.0,0.0,,16,16,0.75
2026-01-06,kefir,novus,75.56646382691008,62.49,0.0,,14,14,1.0
2026-01-06,other_dairy,novus,329.92499999999995,82.99,0.0,,39,39,0.358974358974359
2026-01-06,soft_cheese,novus,531.2905405405405,90.49,0.0,,73,74,0.7837837837837838
2026-01-06,sour_cream,novus,199.9666666666667,59.49,0.0,,20,20,0.95
2026-01-06,yogurt,novus,149.60000000000002,38.79,0.0,,42,42,1.0
