date,period,basis,territory,product,index_value
2020-01-01,2020-M01,До попереднього місяця,Україна,livestock_products,100.6
2020-02-01,2020-M02,До відповідного періоду попереднього року,Україна,livestock_products,93.2
2020-02-01,2020-M02,До попереднього місяця,Україна,livestock_products,103.2
2020-03-01,2020-M03,До попереднього місяця,Україна,livestock_products,102.0
2020-03-01,2020-M03,До відповідного періоду попереднього року,Україна,livestock_products,93.4
2020-04-01,2020-M04,До попереднього місяця,Україна,livestock_products,105.6
2020-04-01,2020-M04,До відповідного періоду попереднього року,Україна,livestock_products,94.6
2020-05-01,2020-M05,До відповідного періоду попереднього року,Україна,livestock_products,95.2
2020-05-01,2020-M05,До попереднього місяця,Україна,livestock_products,98.6
2020-06-01,2020-M06,До відповідного періоду попереднього року,Україна,livestock_products,96.0
2020-06-01,2020-M06,До попереднього місяця,Україна,livestock_products,101.5
2020-07-01,2020-M07,До відповідного періоду попереднього року,Україна,livestock_products,96.5
2020-07-01,2020-M07,До попереднього місяця,Україна,livestock_products,99.1
2020-08-01,2020-M08,До відповідного періоду попереднього року,Україна,livestock_products,97.2
2020-08-01,2020-M08,До попереднього місяця,Україна,livestock_products,99.69
2020-09-01,2020-M09,До попереднього місяця,Україна,livestock_products,106.3
2020-09-01,2020-M09,До відповідного періоду попереднього року,Україна,livestock_products,98.7
2020-10-01,2020-M10,До відповідного періоду попереднього року,Україна,livestock_products,100.6
2020-10-01,2020-M10,До попереднього місяця,Україна,livestock_products,105.4
2020-11-01,2020-M11,До відповідного періоду попереднього року,Україна,livestock_products,103.0
2020-11-01,2020-M11,До попереднього місяця,Україна,livestock_products,106.6
2020-12-01,2020-M12,До відповідного періоду попереднього року,Україна,livestock_products,105.4
2020-12-01,2020-M12,До попереднього місяця,Україна,livestock_products,104.4
2021-01-01,2021-M01,До відповідного періоду попереднього року,Україна,livestock_products,137.8
2021-01-01,2021-M01,До попереднього місяця,Україна,livestock_products,103.3
2021-02-01,2021-M02,До попереднього місяця,Україна,livestock_products,103.6
2021-02-01,2021-M02,До відповідного періоду попереднього року,Україна,livestock_products,140.1
2021-03-01,2021-M03,До відповідного періоду попереднього року,Україна,livestock_products,142.5
2021-03-01,2021-M03,До попереднього місяця,Україна,livestock_products,105.6
2021-04-01,2021-M04,До відповідного періоду попереднього року,Україна,livestock_products,142.3
2021-04-01,2021-M04,До попереднього місяця,Україна,livestock_products,101.5
2021-05-01,2021-M05,До відповідного періоду попереднього року,Україна,livestock_products,142.4
2021-05-01,2021-M05,До попереднього місяця,Україна,livestock_products,99.4
2021-06-01,2021-M06,До відповідного періоду попереднього року,Україна,livestock_products,141.5
2021-06-01,2021-M06,До попереднього місяця,Україна,livestock_products,97.9
2021-07-01,2021-M07,До попереднього місяця,Україна,livestock_products,100.5
2021-07-01,2021-M07,До відповідного періоду попереднього року,Україна,livestock_products,141.3
2021-08-01,2021-M08,До відповідного періоду попереднього року,Україна,livestock_products,141.1
2021-08-01,2021-M08,До попереднього місяця,Україна,livestock_products,100.2
2021-09-01,2021-M09,До відповідного періоду попереднього року,Україна,livestock_products,140.1
2021-09-01,2021-M09,До попереднього місяця,Україна,livestock_products,100.3
2021-10-01,2021-M10,До відповідного періоду попереднього року,Україна,livestock_products,139.1
2021-10-01,2021-M10,До попереднього місяця,Україна,livestock_products,104.6
2021-11-01,2021-M11,До відповідного періоду попереднього року,Україна,livestock_products,137.8
2021-11-01,2021-M11,До попереднього місяця,Україна,livestock_products,103.4
2021-12-01,2021-M12,До відповідного періоду попереднього року,Україна,livestock_products,136.5
2021-12-01,2021-M12,До попереднього місяця,Україна,livestock_products,102.4
2022-01-01,2022-M01,До попереднього місяця,Україна,livestock_products,100.1
2022-01-01,2022-M01,До відповідного періоду попереднього року,Україна,livestock_products,130.1
2025-10-01,2025-Q4,До попереднього кварталу,Україна,livestock_products,98.9
