date,period,territory,indicator,flow,milk_product_raw,product,unit_raw,value,value_uah_kg_or_tonne
2026-03-01,2026-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-01-01,2025-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,17852.5,17.8525
2025-01-01,2025-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-01-01,2025-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-02-01,2025-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,17199.1,17.199099999999998
2025-02-01,2025-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-02-01,2025-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-03-01,2025-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,16431.3,16.4313
2025-03-01,2025-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-03-01,2025-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-04-01,2025-M04,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,16109.3,16.109299999999998
2025-04-01,2025-M04,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-04-01,2025-M04,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-05-01,2025-M05,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15828.9,15.828899999999999
2025-05-01,2025-M05,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-05-01,2025-M05,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-06-01,2025-M06,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15670.1,15.6701
