hypothesis,source_block,model_family,frequency,link,product,product_label,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,admissibility_status,mapping_type,diagnostic_ljungbox_p,asymmetry_pvalue,reliability_raw,interpretation_source,diagnostic_bp_p,r2,detail,data_layer,x_product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,abs_coef,large_coef_flag,peak_coef_flag,intersection_score,significant_flag,direct_bad_link_flag,integrated_reliability,thesis_use
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Procurement,milk,Drinking milk / fermented milk,39.0,0.0285786464560731,0.0086279833163644,-0.50800285802205,0.0086279833163644,0.0055159131371068,weak_extension,direct,0.4078877176606327,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.0285786464560731,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,milk,Drinking milk / fermented milk,37.0,1.036438247407679,5.0983260110800415e-05,-1.1557112611861822,5.0983260110800415e-05,,weak_extension,direct,0.4537763223751144,0.0109584413611353,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.036438247407679,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,milk,Drinking milk / fermented milk,39.0,0.9590815962014057,0.0012949022634403,-0.4748566081069367,0.0012949022634403,,weak_extension,direct,0.4172951530595093,0.1193119688597452,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.9590815962014057,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Producer,milk,Drinking milk / fermented milk,210.0,0.9712583089278988,0.0001085535218932,-0.0439371404543638,0.0001085535218932,0.0024799810834302,strong,direct,0.007723443856365,,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.9712583089278988,False,False,3.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Producer,milk,Drinking milk / fermented milk,210.0,0.9725514070254162,0.0004562540338668,-0.0399261254861279,0.0004562540338668,0.0090920402201431,strong,direct,0.0282079545528792,,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.9725514070254162,False,False,3.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,milk,Drinking milk / fermented milk,210.0,0.0728865975636107,0.0004485479158036,-0.0498296390287653,0.0004485479158036,,strong,direct,3.409943488003006e-05,0.9388725605276708,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.0728865975636107,False,False,3.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,milk,Drinking milk / fermented milk,210.0,0.0276611604499415,0.0002532477148675,-0.0448937092654393,0.0002532477148675,,strong,direct,0.0054203970665792,0.9751456296397965,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.0276611604499415,False,False,3.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,ECM,weekly/monthly,Producer -> Procurement,milk,Drinking milk / fermented milk,36.0,0.0918139757216575,5.000480545495661e-05,-0.8225729991750177,5.000480545495661e-05,6.145029217840474e-10,weak_extension,direct,0.8664404413084128,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.0918139757216575,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,ECM,weekly/monthly,Producer -> Procurement,milk,Drinking milk / fermented milk,39.0,0.0817149757753928,0.002654834167562,-0.4376803688177019,0.002654834167562,0.0031472957403874,weak_extension,direct,0.7680955894034264,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.0817149757753928,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,NARDL,weekly/monthly,Producer -> Procurement,milk,Drinking milk / fermented milk,37.0,0.9271772293656458,0.0001045227756096,-1.2370464189751362,0.0001045227756096,,weak_extension,direct,0.4067819142720654,0.0203696198025104,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.9271772293656458,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,NARDL,weekly/monthly,Producer -> Procurement,milk,Drinking milk / fermented milk,39.0,1.015627635473227,0.0020234045324072,-0.5409516837938559,0.0020234045324072,,weak_extension,direct,0.6305668528860844,0.0872383799833239,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.015627635473227,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Producer,milk_powder,Milk powder,209.0,0.25669532539285,0.0009014625582903,-0.0440641471165444,0.0009014625582903,0.0389579982154423,acceptable,inferred,0.0018294066959513,,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.25669532539285,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
