model_family,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,diagnostic_ljungbox_p,diagnostic_bp_p,r2,detail,hypothesis,source_block,data_layer,frequency,link,x_product,product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,reliability_raw,admissibility_status,mapping_type
Threshold ECM (Loy-style),129,0.922719233444665,7.30782255785788e-105,-0.06536045374250031,0.10966490019858684,0.0062936397347209865,0.14899758928517054,0.0004839851952700656,0.2978791800761674,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,sour_cream,2015-02-01,2026-03-01,0.06536045374250031,0.08175071094580083,-0.024485098269599888,-0.10623580921540073,0.5925301940372614,0.10966490019858684,,,,,,reliable,acceptable,direct_or_title_repaired
Local Projection h=1 month,128,0.07584076342149237,0.2443942490258827,,,,0.014478341107471876,0.00038226991477719184,0.07045307826857816,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,sour_cream,2015-02-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
Local Projection h=3 month,126,0.10589559930589075,0.25635261558114186,,,,1.3222483962868336e-25,0.12862136206419672,0.025301166197545966,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,sour_cream,2015-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
Local Projection h=6 month,123,-0.11965260882456515,0.189436245597975,,,,3.206288371723044e-38,0.21514930945978392,0.0819617044928993,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,sour_cream,2015-02-01,2026-03-01,,,,,,,6.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
DOLS,33,1.4795853863827633,3.145753908002551e-63,,0.08364384021810845,0.08364384021810845,0.0672274877725176,0.19668866683958453,0.8676048748275107,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,butter,2023-02-01,2026-03-01,,,,,,,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),34,1.375829119489285,2.450636837667958e-14,-0.4888617792280209,0.15360811893942164,0.006128453337919432,0.3399219624631378,0.8809089867881432,0.3279864995810924,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,butter,2023-02-01,2026-03-01,0.4888617792280209,0.45980496842869795,-0.25895929501367193,-0.7187642634423699,0.5502932998853903,0.15360811893942164,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=1 month,33,-0.025935373729098293,0.9345240280930855,,,,0.6775737972886702,0.8624618755553491,0.039559757143319496,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,butter,2023-02-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=3 month,31,-0.09486125102943102,0.6465635743590126,,,,0.042758490933750615,0.43589264774109804,0.014281301839421778,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,butter,2023-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=6 month,28,-1.148527299523734,2.5766308681370927e-05,,,,0.07021727990203219,0.8881511093418246,0.16439280889226082,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,butter,2023-02-01,2026-03-01,,,,,,,6.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
DOLS,31,0.5448877758490084,3.458101431217255e-07,,0.023919609711243385,0.023919609711243385,0.4143302662742881,0.9549872356814044,0.48089671837266856,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,condensed_milk,2023-04-01,2026-03-01,,,,,,,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
