model_family,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,diagnostic_ljungbox_p,diagnostic_bp_p,r2,detail,hypothesis,source_block,data_layer,frequency,link,x_product,product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean_x,sku_support_x,reliability_raw,admissibility_status,mapping_type,discount_mean_y,sku_support_y,perishable,retail_link
Threshold ECM (Loy-style),109,1.1750553526721998,1.2575325526754416e-125,-0.008287878604393764,0.6864197567053758,0.01678131454159448,0.9441244865877806,0.3723173091471479,0.3737363648826102,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,sour_cream,sour_cream,2017-02-01,2026-03-01,0.013297671482091768,-0.026595342964183536,-0.021585550086485533,0.005009792877698004,0.6864197567053758,0.9425020689678665,,,,,,reliable,acceptable,direct_or_title_repaired,0.21240476236476635,105.0,1,1
Threshold ECM (Loy-style),37,0.831804069031002,4.885453968393662e-14,-0.14431393300042647,0.0012926647306545234,0.4673533397512346,0.3678186078969135,0.9330806856087179,0.3864775091318229,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2,official_monthly,monthly,ProZorro -> Consumer,drinking_milk,drinking_milk,2023-02-01,2026-03-01,0.14726813339124142,0.29453626678248285,0.002954200390814947,-0.2915820663916679,0.9559907259801795,0.0012926647306545234,,,,,,probable / needs validation,weak_extension,direct_or_title_repaired,0.20349420622806302,198.0,1,1
Threshold ECM (Loy-style),46,0.02836449007246533,0.6746599645891844,-0.7102850477867365,0.017944965079843906,0.0007279889698981206,0.6873230800329024,0.08129576577369989,0.3824280500400501,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,butter,butter,2025-10-22,2025-12-13,0.7102850477867365,0.7297741031329485,-0.3453979962202623,-1.0751720993532108,0.1611547060745807,0.017944965079843906,,silpo,package_price_uah,0.2196203874563909,114.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.1941059309286176,114.0,0,1
Threshold ECM (Loy-style),46,0.023815406556196628,0.7059094160690872,-1.2064120787869332,5.4725790145157015e-05,1.3216940662689937e-07,0.6670024251179656,0.421595979692992,0.5223053818761094,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2025-12-13,1.2064120787869332,0.2722469922728379,-1.0702885826505144,-1.3425355749233523,0.00048301998650125363,5.4725790145157015e-05,,silpo,package_price_uah,0.20835993503584227,31.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.19030345326716297,31.0,0,1
Threshold ECM (Loy-style),46,-0.056695085173168014,0.2888181085391174,-1.0306449489565894,3.304118388406531e-05,0.0002347585300745715,0.5647444045404352,0.493926678185004,0.6272721488300046,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2025-12-13,1.0306449489565894,-0.5132185952588,-1.2872542465859895,-0.7740356513271895,3.304118388406531e-05,0.0010404008023052974,,silpo,package_price_uah,0.23632834142536377,70.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.2080922651448628,70.0,0,1
Threshold ECM (Loy-style),46,-0.07420034825159805,0.26290812944841496,-0.7248787143284647,0.0012895959710735247,6.7002999689180295e-06,0.8945665779654248,0.7347796138115883,0.46689916082112615,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2025-12-13,0.7248787143284647,0.006032827086216552,-0.7218623007853565,-0.7278951278715731,0.0018546325024274464,0.0012895959710735247,,silpo,package_price_uah,0.2430768535021441,198.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.20349420622806302,198.0,1,1
Threshold ECM (Loy-style),46,-0.02245146899158304,0.5713831559016271,-0.6939529003031337,6.528363708200768e-06,4.819173425589909e-05,0.718669586824044,0.39146099290069797,0.423064144103092,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2025-12-13,0.6939529003031337,-0.13472313043013873,-0.761314465518203,-0.6265913350880643,6.528363708200768e-06,0.0002814435458542478,,silpo,package_price_uah,0.2281637601388957,90.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.20210482001991636,90.0,1,1
Threshold ECM (Loy-style),46,0.01510427217881019,0.6694613054231128,-1.0568608528247918,2.4655362940991514e-11,4.456579745519566e-06,0.8897737962435613,0.4483066669778494,0.4817331423351179,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2025-12-13,1.0568608528247918,0.38886395221325776,-0.8624288767181629,-1.2512928289314207,0.002342335794876882,2.4655362940991514e-11,,silpo,package_price_uah,0.3150215360685013,100.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.2549318309307138,100.5,0,1
Threshold ECM (Loy-style),52,0.018907251275106507,0.9106424134971289,-0.5099021164896863,0.015420807635675571,0.9893872884126352,0.2471659059910575,0.5940383924340471,0.25069007210417804,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,butter,butter,2025-10-22,2026-01-08,0.5099021164896863,-0.07884767847094004,-0.5493259557251563,-0.47047827725421626,0.015420807635675571,0.22691152737491427,,pooled,package_price_uah,0.19410593092861758,114.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.1941059309286176,114.0,0,1
Threshold ECM (Loy-style),50,0.009347440495778882,0.9485022658201194,-0.008676752319215442,0.8039720861941297,0.9855958728880051,0.6664972596167348,0.0010440023914209283,0.5089575391326017,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2026-01-08,0.15806167913539454,0.3161233582707891,0.1493849268161791,-0.16673843145460998,0.8122245218924096,0.8039720861941297,,pooled,package_price_uah,0.19030345326716297,31.0,unreliable / appendix only,weak_extension,direct_or_title_repaired,0.19030345326716297,31.0,0,1
Threshold ECM (Loy-style),52,-0.08749077204193556,0.3983441744977275,-0.45673132345357315,0.0008763610483948368,0.7734912864710028,0.9626704862182459,0.3870194413199018,0.31070737203755894,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2026-01-08,0.45673132345357315,0.8664778870423779,-0.023492379932384178,-0.8899702669747621,0.7526187468140597,0.0008763610483948368,,pooled,package_price_uah,0.2080922651448628,70.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.2080922651448628,70.0,0,1
Threshold ECM (Loy-style),55,-0.01765201401104788,0.9431206682025208,-1.670121732621567,1.1513908015124896e-23,0.010388857033991094,0.7740896256815009,0.7258321922132277,0.6554646242184523,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2026-01-08,1.670121732621567,-0.2802162350359103,-1.8102298501395222,-1.530013615103612,0.012457115767233799,1.1513908015124896e-23,,pooled,package_price_uah,0.20349420622806305,198.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.20349420622806302,198.0,1,1
Threshold ECM (Loy-style),52,0.011849590141217226,0.8284648752126023,-0.5417385935674236,2.5698128173912036e-05,0.0033369227216461256,0.8454489909039941,0.1962526218377593,0.30109443409215864,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2026-01-08,0.5417385935674236,0.403559797845203,-0.3399586946448221,-0.7435184924900251,0.03765597946022662,2.5698128173912036e-05,,pooled,package_price_uah,0.20210482001991636,90.0,probable / needs validation,weak_extension,direct_or_title_repaired,0.20210482001991636,90.0,1,1
Threshold ECM (Loy-style),53,-0.1880929452730138,0.33032067624118344,-0.2043898112304188,7.098411285273117e-05,0.0020972043486350476,0.9568259317383757,0.08176812955963188,0.3929283439155543,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2026-01-08,0.4994211940714708,-0.9988423881429416,-0.7038110053018896,0.29503138284105196,7.098411285273117e-05,0.5142656922744142,,pooled,package_price_uah,0.2549318309307138,100.5,probable / needs validation,weak_extension,direct_or_title_repaired,0.2549318309307138,100.5,0,1
