product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,lag_spread_coef,lag_spread_p,upstream_pos_coef,upstream_pos_p,upstream_neg_abs_coef,upstream_neg_abs_p,asymmetry_pvalue,discount_share_coef,discount_share_p,discount_depth_coef,discount_depth_p,r2,persistent_margin_flag,asymmetric_margin_flag,ljungbox_p,arch_p,jb_p
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,65,-0.24418615365118612,1.185564691865347e-06,58.46132002502969,0.03432239495391346,14.762913463856156,0.16276508413792112,0.05884423738629183,-0.29057552787915764,0.14907367644264463,,,0.2412862446399221,0,1,0.11405326461650978,0.0032882818954946273,0.30164743514737563
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,65,-0.2469296453437551,1.0437671760227197e-05,60.36559942610942,0.026606616752043656,15.955956514002251,0.09346884249343275,0.04575213689401653,-0.20165558492349245,0.2863679505397614,,,0.2686423839926553,0,1,0.3843339742683255,0.09196250324432272,0.0018013295380263743
cream,Cream,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,linear,65,-0.24418615365118612,1.185564691865347e-06,58.46132002502969,0.03432239495391346,14.762913463856156,0.16276508413792112,0.05884423738629183,-0.29057552787915764,0.14907367644264463,,,0.2412862446399221,0,1,0.11405326461650978,0.0032882818954946273,0.30164743514737563
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,65,-0.26461736485068743,2.0934217507245505e-08,47.6862597781446,0.003972124097254137,12.286456831272718,0.3360612438760804,0.02097544895766076,-0.16478771754694885,0.4720030931658481,,,0.32646818446078807,0,1,0.05244869236587705,0.0024205196389950135,0.33359622261066885
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,65,-0.2615498656564179,6.877387722379434e-07,48.580656813435766,0.003253916119801525,15.096927577451096,0.19218928737111063,0.024258840350818756,-0.06320021824244476,0.7743970355524042,,,0.36547922082278095,0,1,0.17808575382342043,0.3123516263512884,0.006612629663082284
cream,Cream,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,linear,65,-0.26461736485068743,2.0934217507245505e-08,47.6862597781446,0.003972124097254137,12.286456831272718,0.3360612438760804,0.02097544895766076,-0.16478771754694885,0.4720030931658481,,,0.32646818446078807,0,1,0.05244869236587705,0.0024205196389950135,0.33359622261066885
cream,Cream,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,67,-0.14728275991164347,0.011439963305204814,-1.0293804855144364,1.4705071298963644e-69,0.8208879738263124,7.40141841463648e-18,1.019149826904674e-64,-0.38186863151081873,0.027629978284422676,,,0.8185571651371126,0,1,0.4365830113914329,0.00038665513234755535,0.8985234443415918
cream,Cream,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,67,-0.1561290337655407,0.00457346099772184,-1.0063598086504388,8.708572032039479e-127,0.7361745589242077,2.1492864450600578e-16,4.127504823702201e-78,-0.32479056440962917,0.03858044963583742,,,0.8219362597630284,0,1,0.7045962888623306,5.832929141903934e-05,0.16179082044288817
cream,Cream,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,linear,67,-0.14728275991164347,0.011439963305204814,-1.0293804855144364,1.4705071298963644e-69,0.8208879738263124,7.40141841463648e-18,1.019149826904674e-64,-0.38186863151081873,0.027629978284422676,,,0.8185571651371126,0,1,0.4365830113914329,0.00038665513234755535,0.8985234443415918
cream,Cream,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,linear,67,-0.1561290337655407,0.00457346099772184,-1.0063598086504388,8.708572032039479e-127,0.7361745589242077,2.1492864450600578e-16,4.127504823702201e-78,-0.32479056440962917,0.03858044963583742,,,0.8219362597630284,0,1,0.7045962888623306,5.832929141903934e-05,0.16179082044288817
cream,Cream,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,58,-0.18178571302668195,0.00014107901458189893,-1.0320448083734488,9.320754064505542e-79,0.6284602612388387,1.2886020673490854e-08,4.0063912209931076e-68,-0.4232643679885305,0.03293288868340749,,,0.806486613670186,0,1,0.5138699286609014,0.4406274116842731,0.46349851029309286
cream,Cream,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,58,-0.15748764874220736,0.0002905824540093484,-1.024611483635229,3.7881435039359797e-203,0.7461935781368939,2.3761979865404603e-27,1.4409031562115476e-172,-0.3020773110031767,0.07377159837322322,,,0.8260966113419619,0,1,0.7819588374791294,0.09958905018088235,0.7742485282211398
cream,Cream,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,49,-0.09398435494563705,0.059295634748026696,-1.0105099889597515,9.671380679551445e-57,0.9474152442440447,4.0372703910554624e-72,2.2243209481000256e-142,0.15710648777235164,0.019519124568433965,,,0.9321914788144252,0,1,0.7105354751275063,0.182843613290534,0.9022669875547411
cream,Cream,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,49,-0.08702756664898606,0.0033505557060703817,-0.9852406130931607,1.5147707169958676e-110,0.8798959391369952,3.4888413030673584e-106,0.0,0.1178056818840176,0.03969830776047327,,,0.9384286504086357,0,1,0.8772190029454738,0.6716542871342481,0.5724553247454718
cream,Cream,novus_procurement_observed,Novus observed / ProZorro,not_applicable,linear,42,-0.25705513305673106,0.0025895105558485045,-0.7634992573616056,4.323077097056425e-39,0.8685648779959031,9.674989726733014e-09,1.0442514155806365e-41,-0.5596793929102521,0.013051647025549751,,,0.6218554341359814,0,1,0.629915207481838,0.04595257702980797,8.367251576972368e-08
cream,Cream,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,67,-0.14728275991164347,0.011439963305204814,-1.0293804855144364,1.4705071298963644e-69,0.8208879738263124,7.40141841463648e-18,1.019149826904674e-64,-0.38186863151081873,0.027629978284422676,,,0.8185571651371126,0,1,0.4365830113914329,0.00038665513234755535,0.8985234443415918
cream,Cream,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,67,-0.1561290337655407,0.00457346099772184,-1.0063598086504388,8.708572032039479e-127,0.7361745589242077,2.1492864450600578e-16,4.127504823702201e-78,-0.32479056440962917,0.03858044963583742,,,0.8219362597630284,0,1,0.7045962888623306,5.832929141903934e-05,0.16179082044288817
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,65,-0.2359566708854495,1.3517688275439517e-05,53.31105010179498,0.0018687726255181738,16.303619632679236,0.02589801725096368,0.015990638340347283,-0.3005605332946242,0.11368078312803793,,,0.26020445848983986,0,1,0.31497839498975705,0.00223666714483301,0.16621029414610844
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,65,-0.2399954696107269,6.765871577675835e-05,53.39014389050854,0.0010185111083917983,15.5697165453945,0.012126649845408703,0.008764521482307044,-0.21709771693429433,0.2066719247849893,,,0.276577535629036,0,1,0.45280903773946,0.005546700519551768,3.666114071358388e-07
cream,Cream,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,pchip,65,-0.2359566708854495,1.3517688275439517e-05,53.31105010179498,0.0018687726255181738,16.303619632679236,0.02589801725096368,0.015990638340347283,-0.3005605332946242,0.11368078312803793,,,0.26020445848983986,0,1,0.31497839498975705,0.00223666714483301,0.16621029414610844
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,65,-0.2620546632140862,9.412792545081909e-07,41.61481116569112,4.035030596861111e-05,14.415871858764028,0.19766530518675973,0.01516902265896856,-0.20272236977255392,0.27626766892652443,,,0.3275719045344736,0,1,0.3097826244445946,0.0013945563648589388,0.22859416444327238
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,65,-0.26385378700733453,1.3058315456816747e-05,40.742496258541465,2.8130391088088628e-05,14.247643983877744,0.13645058497428972,0.013536967687622135,-0.11639410710098735,0.497883677119044,,,0.34273494770361,0,1,0.45742105965562474,0.00762735888368283,1.048937572238514e-06
cream,Cream,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,pchip,65,-0.2620546632140862,9.412792545081909e-07,41.61481116569112,4.035030596861111e-05,14.415871858764028,0.19766530518675973,0.01516902265896856,-0.20272236977255392,0.27626766892652443,,,0.3275719045344736,0,1,0.3097826244445946,0.0013945563648589388,0.22859416444327238
cream,Cream,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,67,-0.14728275991164347,0.011439963305204814,-1.0293804855144364,1.4705071298963644e-69,0.8208879738263124,7.40141841463648e-18,1.019149826904674e-64,-0.38186863151081873,0.027629978284422676,,,0.8185571651371126,0,1,0.4365830113914329,0.00038665513234755535,0.8985234443415918
cream,Cream,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,67,-0.1561290337655407,0.00457346099772184,-1.0063598086504388,8.708572032039479e-127,0.7361745589242077,2.1492864450600578e-16,4.127504823702201e-78,-0.32479056440962917,0.03858044963583742,,,0.8219362597630284,0,1,0.7045962888623306,5.832929141903934e-05,0.16179082044288817
cream,Cream,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,pchip,67,-0.14728275991164347,0.011439963305204814,-1.0293804855144364,1.4705071298963644e-69,0.8208879738263124,7.40141841463648e-18,1.019149826904674e-64,-0.38186863151081873,0.027629978284422676,,,0.8185571651371126,0,1,0.4365830113914329,0.00038665513234755535,0.8985234443415918
cream,Cream,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,pchip,67,-0.1561290337655407,0.00457346099772184,-1.0063598086504388,8.708572032039479e-127,0.7361745589242077,2.1492864450600578e-16,4.127504823702201e-78,-0.32479056440962917,0.03858044963583742,,,0.8219362597630284,0,1,0.7045962888623306,5.832929141903934e-05,0.16179082044288817
cream,Cream,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,58,-0.18178571302668195,0.00014107901458189893,-1.0320448083734488,9.320754064505542e-79,0.6284602612388387,1.2886020673490854e-08,4.0063912209931076e-68,-0.4232643679885305,0.03293288868340749,,,0.806486613670186,0,1,0.5138699286609014,0.4406274116842731,0.46349851029309286
cream,Cream,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,58,-0.15748764874220736,0.0002905824540093484,-1.024611483635229,3.7881435039359797e-203,0.7461935781368939,2.3761979865404603e-27,1.4409031562115476e-172,-0.3020773110031767,0.07377159837322322,,,0.8260966113419619,0,1,0.7819588374791294,0.09958905018088235,0.7742485282211398
cream,Cream,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,49,-0.09398435494563705,0.059295634748026696,-1.0105099889597515,9.671380679551445e-57,0.9474152442440447,4.0372703910554624e-72,2.2243209481000256e-142,0.15710648777235164,0.019519124568433965,,,0.9321914788144252,0,1,0.7105354751275063,0.182843613290534,0.9022669875547411
cream,Cream,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,49,-0.08702756664898606,0.0033505557060703817,-0.9852406130931607,1.5147707169958676e-110,0.8798959391369952,3.4888413030673584e-106,0.0,0.1178056818840176,0.03969830776047327,,,0.9384286504086357,0,1,0.8772190029454738,0.6716542871342481,0.5724553247454718
cream,Cream,novus_procurement_observed,Novus observed / ProZorro,not_applicable,pchip,42,-0.25705513305673106,0.0025895105558485045,-0.7634992573616056,4.323077097056425e-39,0.8685648779959031,9.674989726733014e-09,1.0442514155806365e-41,-0.5596793929102521,0.013051647025549751,,,0.6218554341359814,0,1,0.629915207481838,0.04595257702980797,8.367251576972368e-08
cream,Cream,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,67,-0.14728275991164347,0.011439963305204814,-1.0293804855144364,1.4705071298963644e-69,0.8208879738263124,7.40141841463648e-18,1.019149826904674e-64,-0.38186863151081873,0.027629978284422676,,,0.8185571651371126,0,1,0.4365830113914329,0.00038665513234755535,0.8985234443415918
cream,Cream,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,67,-0.1561290337655407,0.00457346099772184,-1.0063598086504388,8.708572032039479e-127,0.7361745589242077,2.1492864450600578e-16,4.127504823702201e-78,-0.32479056440962917,0.03858044963583742,,,0.8219362597630284,0,1,0.7045962888623306,5.832929141903934e-05,0.16179082044288817
