product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,mean_log_spread,median_log_spread,sd_log_spread,mean_price_ratio,date_min,date_max
condensed_milk,Condensed milk,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,51,-0.43659105887649796,-0.4508605982311291,0.20350614624340305,0.6462356497147187,2025-10-21,2025-12-13
condensed_milk,Condensed milk,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,51,-0.3926287050162131,-0.39533488822743124,0.19466505504368514,0.6752794289095029,2025-10-21,2025-12-13
condensed_milk,Condensed milk,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,62,-0.40457899739347375,-0.4360581555896883,0.2374573084217267,0.6672576689511845,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,62,-0.3694358793430948,-0.3822435252808405,0.2280170102458381,0.6911240980692943,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,64,1.3310002311424667,1.2537450490550845,0.18578662086200495,3.784827196942568,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,64,1.4174108363994649,1.3686101520177616,0.14319530403754305,4.126422613784222,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,linear,64,1.3310002311424667,1.2537450490550845,0.18578662086200495,3.784827196942568,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,64,1.333246385045146,1.2612441961645637,0.18666628817513373,3.7933380560934418,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,64,1.419656990302144,1.3728044765341014,0.1442571565790895,4.135701611169167,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,linear,64,1.333246385045146,1.2612441961645637,0.18666628817513373,3.7933380560934418,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,67,-0.7622161513480182,-0.8006896634907719,0.3087942361569763,0.4666311550106999,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,67,-0.6796746776696916,-0.6966198700389175,0.27230455379060686,0.5067818329978353,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,linear,67,-0.7622161513480182,-0.8006896634907719,0.3087942361569763,0.4666311550106999,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,linear,67,-0.6796746776696916,-0.6966198700389175,0.27230455379060686,0.5067818329978353,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,61,-0.8256986820746861,-0.8597615383352775,0.2841742421740818,0.43792891246996796,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,61,-0.7100277862918729,-0.7312834538637469,0.23806722834851649,0.4916305366815889,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,-0.8950761167241001,-0.8629516591783544,0.19438084149390464,0.40857649795265377,2025-10-21,2025-12-13
cottage_cheese,Cottage cheese,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,-0.7852280530496167,-0.7638311893551624,0.18058225336914271,0.456015694156736,2025-10-21,2025-12-13
cottage_cheese,Cottage cheese,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,67,-0.7622161513480182,-0.8006896634907719,0.3087942361569763,0.4666311550106999,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,67,-0.6796746776696916,-0.6966198700389175,0.27230455379060686,0.5067818329978353,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,64,1.3307848529527428,1.2530280129634477,0.18552969415753912,3.7840121154910076,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,64,1.4171954582097412,1.3683976320547908,0.14294004262810003,4.125533968052521,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,pchip,64,1.3307848529527428,1.2530280129634477,0.18552969415753912,3.7840121154910076,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,64,1.3331605913865763,1.2609098805700525,0.18633843210608952,3.7930126257035495,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,64,1.4195711966435747,1.3731000184321784,0.14390784694310912,4.135346809417281,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,pchip,64,1.3331605913865763,1.2609098805700525,0.18633843210608952,3.7930126257035495,2025-10-21,2025-12-29
cottage_cheese,Cottage cheese,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,67,-0.7622161513480182,-0.8006896634907719,0.3087942361569763,0.4666311550106999,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,67,-0.6796746776696916,-0.6966198700389175,0.27230455379060686,0.5067818329978353,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,pchip,67,-0.7622161513480182,-0.8006896634907719,0.3087942361569763,0.4666311550106999,2025-10-21,2026-01-08
