link,link_direction,price_variant,horizon_days,models,products,variants,mean_coef,median_coef,mean_abs_coef,sig_share,core_share,median_n_obs
Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,0,36,9,2,0.0003401976753630191,4.656099891907535e-05,0.0013411858511498044,0.1388888888888889,0.1388888888888889,60.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_baseline,0,14,7,2,-0.1600680760548502,-0.08110425963660015,0.2412098288715277,0.14285714285714285,0.14285714285714285,60.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_observed,0,14,7,2,-0.16001540850589227,-0.11596484358103758,0.1989747282728524,0.2857142857142857,0.2857142857142857,60.0
Silpo -> ProZorro,reverse,silpo_baseline,0,14,7,2,-0.1382576620024073,-0.22270445784347515,0.3308410791313157,0.14285714285714285,0.14285714285714285,47.0
Silpo -> ProZorro,reverse,silpo_observed,0,14,7,2,-0.2443308855416057,-0.13961911446325606,0.25369529534615975,0.14285714285714285,0.14285714285714285,47.0
FarmGateUA -> ProZorro,forward,procurement_price,1,32,8,2,-3.192822487235018,-1.5778988710563453,8.895472330991435,0.25,0.25,260.0
FarmGateUA -> ProducerUA,forward,processor_price,1,20,5,2,1.705754135312072,1.7547468604553191,1.705754135312072,1.0,1.0,1457.0
FarmGateUA -> Retail,forward,retail_observed,1,36,9,2,-1.969409940771364,-1.4173017361652223,13.36088028808144,0.16666666666666666,0.16666666666666666,58.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,1,36,9,2,-7.2534041225192105,-1.4173017361652223,18.644874469829283,0.19444444444444445,0.19444444444444445,58.0
FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,1,36,9,2,-1.814495653412238,-1.4173017361652223,11.881544147492413,0.1111111111111111,0.1111111111111111,58.0
Novus -> ProZorro,reverse,novus_observed,1,10,5,2,-0.3564007788072475,-0.0340860795149686,0.4580104244528561,0.0,0.0,36.0
ProZorro -> Novus,forward,novus_observed,1,6,3,2,0.19144270832534846,0.08811855177495881,0.5920942321841367,0.0,0.0,44.0
ProZorro -> ProducerUA,reverse,processor_price,1,10,5,2,-0.006033354266444702,-0.0019954481308617654,0.008003626378494406,0.0,0.0,257.0
ProZorro -> Retail,forward,retail_baseline,1,14,7,2,0.019236870872367105,0.01741110124753627,0.09159057166897021,0.0,0.0,58.0
ProZorro -> Retail,forward,retail_observed,1,14,7,2,-0.03349900583057019,-0.013013501947316125,0.0905030762239646,0.0,0.0,58.0
ProZorro -> Retail matched,forward,retail_matched_baseline,1,12,6,2,-0.16476806661529156,-0.005409843132798065,0.22539090185725294,0.16666666666666666,0.16666666666666666,51.0
ProZorro -> Retail matched,forward,retail_matched_observed,1,12,6,2,-0.24167268153844298,-0.05374093502986764,0.24689265138738956,0.16666666666666666,0.16666666666666666,51.0
ProZorro -> Retail optimal,forward,retail_optimal_baseline,1,14,7,2,0.010728590528622869,0.01741110124753627,0.08308229132522597,0.0,0.0,58.0
ProZorro -> Retail optimal,forward,retail_optimal_observed,1,14,7,2,-0.03442281154164959,-0.013013501947316125,0.08957927051288521,0.0,0.0,58.0
ProZorro -> Retail+Consumer,forward,retail_consumer_baseline,1,14,7,2,0.01806244575423922,0.01741110124753627,0.07684618479802043,0.0,0.0,58.0
ProZorro -> Retail+Consumer,forward,retail_consumer_observed,1,14,7,2,-0.025410533186134752,-0.013013501947316125,0.08125813435781305,0.0,0.0,58.0
ProZorro -> Silpo,forward,silpo_baseline,1,14,7,2,0.037406919985754246,0.020487276996236627,0.05631379243339465,0.14285714285714285,0.14285714285714285,45.0
ProZorro -> Silpo,forward,silpo_observed,1,14,7,2,-0.0459644031349492,-0.04883790443115529,0.05512823510532066,0.0,0.0,45.0
ProducerUA -> FarmGateUA,reverse,processor_price,1,20,5,2,0.13786190673171753,0.13416820017799275,0.13786190673171753,1.0,1.0,1458.0
ProducerUA -> ProZorro,forward,procurement_price,1,10,5,2,0.15250249465971882,0.277207767146763,1.7792312651405868,0.0,0.0,258.0
Retail -> FarmGateUA,reverse,retail_observed,1,36,9,2,0.0014129712137409707,0.00043712198236814544,0.002524950415731791,0.1388888888888889,0.1388888888888889,60.0
Retail -> ProZorro,reverse,retail_baseline,1,14,7,2,-0.08381056889648948,-0.018953077251920747,0.11783833669137832,0.0,0.0,60.0
Retail -> ProZorro,reverse,retail_observed,1,14,7,2,-0.09262377589260694,-0.01621216796457431,0.10483172526533228,0.0,0.0,60.0
Retail matched -> ProZorro,reverse,retail_matched_baseline,1,12,6,2,-0.07511149459817602,-0.09262649609111209,0.14427915515752002,0.0,0.0,54.0
Retail matched -> ProZorro,reverse,retail_matched_observed,1,12,6,2,-0.050799797434610335,-0.012618981762614067,0.11763886665937003,0.16666666666666666,0.16666666666666666,54.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,1,36,9,2,0.001415051169477146,0.0002966086010813937,0.0025314887700777586,0.1388888888888889,0.1388888888888889,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,1,14,7,2,-0.08650563469411308,-0.018953077251920747,0.1205334024890019,0.0,0.0,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_observed,1,14,7,2,-0.09530383963941673,-0.024568808357135014,0.10751178901214208,0.0,0.0,60.0
Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,1,36,9,2,0.0009012683913595208,0.0002535440471799998,0.0030605264131854074,0.1388888888888889,0.1388888888888889,60.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_baseline,1,14,7,2,-0.10063179059392639,-0.02181931249506762,0.13465955838881524,0.0,0.0,60.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_observed,1,14,7,2,-0.09309613975572394,-0.024568808357135014,0.11205695627587116,0.0,0.0,60.0
Silpo -> ProZorro,reverse,silpo_baseline,1,14,7,2,-0.16739723083759525,-0.3051251058363984,0.4243145962898854,0.14285714285714285,0.14285714285714285,47.0
Silpo -> ProZorro,reverse,silpo_observed,1,14,7,2,-0.1999665824843838,-0.17674319265208477,0.24816539438295987,0.0,0.0,47.0
FarmGateUA -> ProZorro,forward,procurement_price,3,32,8,2,1.2222059010792763,3.633920995151291,8.85025321747073,0.09375,0.09375,260.0
FarmGateUA -> ProducerUA,forward,processor_price,3,20,5,2,3.9963872929154958,3.5931340837344834,3.9963872929154958,1.0,1.0,1455.0
