model,product,product_label,link,link_direction,price_variant,farm_gate_source,reconstruction_variant,horizon_days,n_obs,coef,pvalue,stderr,r2,core_signal,ljungbox_p,arch_p,jb_p,coef_positive_shock,p_positive_shock,coef_negative_shock_abs,p_negative_shock_abs,asymmetry_pvalue,asymmetry_gap
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,3,1455,,,,0.49983790092692504,1,0.0,7.58255076249962e-109,0.0,2.0311262436775857,0.001956632449675616,-2.0067330617252184,0.05630296549856761,0.001997556612002617,4.0378593054028045
LP_linear,milk_powder,Milk powder,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,7,1451,2.6075207265266105,0.008010411552212946,0.9833649825440535,0.22701370815642252,1,0.0,5.821617740203443e-221,4.704619545284932e-200,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,7,1451,,,,0.22707521615960213,1,0.0,5.251633043844312e-221,9.768080723577848e-201,2.4129947177441204,0.09547370147435344,-2.9233773044132243,0.17706404177913992,0.011535359538638367,5.336372022157345
LP_linear,milk_powder,Milk powder,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,14,1444,0.35868394259651476,0.8215570181378153,1.590314172887873,0.11132553835808323,0,0.0,1.984035505684542e-271,0.0001405655835234799,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,14,1444,,,,0.11139323691429948,0,0.0,2.657384649121399e-271,0.00017106736406278017,0.6613912705795529,0.8077445099093618,0.1323475095525306,0.9660857107381682,0.8696671955178327,0.5290437610270223
LP_linear,milk_powder,Milk powder,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,21,1437,-0.1910712885710667,0.9173565165698653,1.8413998241945404,0.07144221980510335,0,0.0,1.8245972860198045e-274,2.087772820756832e-06,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,21,1437,,,,0.07175521282382347,0,0.0,2.5513248980051667e-274,1.530966172948825e-06,0.6168149978097619,0.8597020966422678,1.50270313058998,0.7232495043486962,0.8205181832435942,-0.8858881327802182
LP_linear,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,0,74,0.11519977307927598,0.5659518146500971,0.20068820888653183,0.8337800280154375,0,0.9968724883791282,0.9999998934125738,0.0,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,0,74,,,,0.8469529790179076,0,0.9591210818883563,0.9999980828060283,0.0,2.3314634653194735,0.14735369623192832,1.2831871476390828,0.1807489711911463,0.23923224313945168,1.0482763176803906
LP_linear,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,1,69,1.5328308206441534,0.15139399865291478,1.068454032026176,0.7935859303174568,0,0.08570433463219951,0.9998900539060962,3.314195250227e-311,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,1,69,,,,0.8262010022262981,1,0.03004104886073114,0.9999891676890797,5.193689126905823e-191,8.470837665864902,0.05789538341599401,2.627992880665636,0.1609819701228481,0.0414772539878739,5.842844785199267
LP_linear,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,3,59,4.264652847925643,0.21867886459602792,3.4670601336550213,0.6943344429793383,0,6.9054776625438535e-06,0.6631332980691171,2.9873808662545404e-36,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,3,59,,,,0.7393562273956844,1,4.743147633610494e-06,0.7867045985427288,3.0860931137590055e-16,20.15033774868921,0.09954186928193987,4.045288925922221,0.37429819842896506,0.061825699898144085,16.10504882276699
LP_linear,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,7,40,4.256492627660734,0.4426015830000941,5.543697945254964,0.5475675016582626,0,9.020575158744515e-05,0.1425386540273991,0.0038978720172909076,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,7,40,,,,0.5837636852235155,0,0.0001508584402858393,0.5114250389804854,0.10775095400678451,25.096633617778615,0.3360924441198223,3.764095047006949,0.4976021096322695,0.3114091327992406,21.332538570771664
LP_linear,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,14,21,62.24355226694139,1.877319259208802e-17,7.321785752948839,0.7077132370640332,0,0.00036753187443848727,0.34983933760537533,0.5817058075574606,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,14,21,,,,0.7332008441963097,0,0.00041157871348747744,0.3491752898319757,0.5188472296832205,25.4019000555656,0.5162784702887049,-115.56757755904313,0.0030097512886131522,1.6456710831970294e-06,140.96947761460873
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,0,47,-2.885310898873083,0.9275266125797201,31.721638549359298,0.23119205712127366,0,0.10910279439181353,0.7545347073429384,0.8245403006986792,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,0,47,,,,0.25345290981119317,0,0.10395812022463928,0.5196186258598948,0.5983003595687341,-141.46408256472603,0.1324627094822412,-27.198082631169477,0.4916108169962725,0.18009135745977645,-114.26599993355654
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,1,45,-22.40370943938882,0.3156447157364983,22.32672509858648,0.22983434749204412,0,1.139862957649095e-05,0.8952640708682031,0.90672748849555,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,1,45,,,,0.2535279316861131,0,8.648860558412994e-05,0.7564553864336626,0.7581100542275105,-185.1243099454199,0.1669741570477874,-13.001116950849479,0.6632698477379646,0.16408777841759106,-172.12319299457042
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,3,44,-7.153823879999452,0.6634134755756413,16.437817351457923,0.3603368127564196,0,0.0331400436399122,0.7900751466979862,0.6057272868706214,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,3,44,,,,0.3750232543361728,0,0.09755414605069145,0.6628195092105622,0.5909417044110458,-125.08982425631017,0.10938319698757171,-18.5313271931028,0.38392228020422214,0.14202842552496828,-106.55849706320737
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,7,42,-67.1294634278179,0.03643787535783261,32.088543846897075,0.4243985903288454,1,0.39899162557156753,0.5018112051081096,0.4505193056578146,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,7,42,,,,0.4440024473005796,1,0.6642102195812625,0.7346420257491397,0.4896454731685277,-249.10862186554905,0.029539045138275277,35.71053400747823,0.1064790721910284,0.015163562523937647,-284.8191558730273
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,14,35,34.159246327891594,0.0962353451145949,20.535980145723595,0.39303570757034056,1,0.7524934535161321,0.7296584540091565,0.8358295562260863,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,14,35,,,,0.4167551483772789,1,0.834304643718827,0.7095302201837999,0.7706718824773293,-137.73731504163445,0.3447129486322059,-62.94994949361245,0.03474638159594419,0.5532150812118708,-74.787365548022
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,21,28,-56.90007552853313,0.12501856670960868,37.091528044039464,0.2587594973833205,0,0.43965649229683446,0.7241488955072601,0.8549410615548027,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail,forward,retail_observed,initial,linear,21,28,,,,0.2743750687540033,0,0.4791320878612072,0.6535802257645276,0.8618893874559321,-216.07572020597303,0.15647798135248753,32.987253550485335,0.3682995512932751,0.10003511281950496,-249.06297375645835
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,0,47,-2.885310898873083,0.9275266125797201,31.721638549359298,0.23119205712127366,0,0.10910279439181353,0.7545347073429384,0.8245403006986792,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,0,47,,,,0.25345290981119317,0,0.10395812022463928,0.5196186258598948,0.5983003595687341,-141.46408256472603,0.1324627094822412,-27.198082631169477,0.4916108169962725,0.18009135745977645,-114.26599993355654
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,1,45,-22.40370943938882,0.3156447157364983,22.32672509858648,0.22983434749204412,0,1.139862957649095e-05,0.8952640708682031,0.90672748849555,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,1,45,,,,0.2535279316861131,0,8.648860558412994e-05,0.7564553864336626,0.7581100542275105,-185.1243099454199,0.1669741570477874,-13.001116950849479,0.6632698477379646,0.16408777841759106,-172.12319299457042
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,3,44,-7.153823879999452,0.6634134755756413,16.437817351457923,0.3603368127564196,0,0.0331400436399122,0.7900751466979862,0.6057272868706214,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,3,44,,,,0.3750232543361728,0,0.09755414605069145,0.6628195092105622,0.5909417044110458,-125.08982425631017,0.10938319698757171,-18.5313271931028,0.38392228020422214,0.14202842552496828,-106.55849706320737
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,7,42,-67.1294634278179,0.03643787535783261,32.088543846897075,0.4243985903288454,1,0.39899162557156753,0.5018112051081096,0.4505193056578146,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,7,42,,,,0.4440024473005796,1,0.6642102195812625,0.7346420257491397,0.4896454731685277,-249.10862186554905,0.029539045138275277,35.71053400747823,0.1064790721910284,0.015163562523937647,-284.8191558730273
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,14,35,34.159246327891594,0.0962353451145949,20.535980145723595,0.39303570757034056,1,0.7524934535161321,0.7296584540091565,0.8358295562260863,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,14,35,,,,0.4167551483772789,1,0.834304643718827,0.7095302201837999,0.7706718824773293,-137.73731504163445,0.3447129486322059,-62.94994949361245,0.03474638159594419,0.5532150812118708,-74.787365548022
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,21,28,-56.90007552853313,0.12501856670960868,37.091528044039464,0.2587594973833205,0,0.43965649229683446,0.7241488955072601,0.8549410615548027,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,initial,linear,21,28,,,,0.2743750687540033,0,0.4791320878612072,0.6535802257645276,0.8618893874559321,-216.07572020597303,0.15647798135248753,32.987253550485335,0.3682995512932751,0.10003511281950496,-249.06297375645835
LP_linear,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,0,47,-5.070612441547529e-05,0.9250776806713249,0.0005391995648246437,0.6291121913344082,0,0.12982125781335324,0.005148606567617538,3.1817820703469913e-54,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,0,47,,,,0.6391240707148649,0,0.15313078568024577,0.034032355476384765,4.156038615197027e-50,-0.0010151613746338228,0.14752904127791408,-0.0008941556302319334,0.4242270284559241,0.9108947194148278,-0.0001210057444018894
LP_linear,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,1,47,0.00022423267283281745,0.8265417259472002,0.0010232437545039453,0.574721415955687,0,0.0003124090467799198,0.06176087393425584,5.884854263508426e-34,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,1,47,,,,0.5768088639392168,0,0.0003714298488429252,0.12913317691541235,8.994696584425485e-32,-0.0005986865134352751,0.680884964194779,-0.0010304337548368858,0.6065885826034494,0.8317458331223169,0.00043174724140161074
LP_linear,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,3,47,0.0011539612114898111,0.45280843103551094,0.0015370959163052511,0.38366312141495307,0,7.535099878954573e-09,0.0019953296182494517,8.633166162028946e-10,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,3,47,,,,0.3838248452411882,0,8.312021359651713e-09,0.002124946999496541,1.3414583868684792e-09,0.0007427281147810265,0.8186460460544349,-0.0015568398574797742,0.627464311958206,0.45403009011199535,0.0022995679722608007
LP_linear,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,7,47,-0.003589547279815251,0.30670060626920115,0.003511694201274266,0.31489088121554243,0,1.6981486874718974e-10,0.14766567160197533,0.9707966906597116,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,7,47,,,,0.32068042578633993,0,6.11334138199932e-10,0.21015902322718952,0.9789601206544757,-0.00741715468253722,0.15868597566514164,-0.00016029994826272272,0.9689036640068268,0.28563511992396073,-0.007256854734274497
LP_linear,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,14,47,-0.0025350549846678777,0.5163282482408487,0.003905999662229396,0.1755354181625679,0,2.1667261949904583e-12,0.01969654072354604,0.02870986588608507,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,14,47,,,,0.21083432824212112,1,1.498136612540305e-10,0.023042706117829572,0.034433610560497596,-0.01294589109725261,0.013339516840337672,-0.007664278654143604,0.3067948135740768,0.44828310730190846,-0.005281612443109006
LP_linear,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,21,46,-0.005240095484562819,0.11983304116709742,0.0033688077867929495,0.2085084569439445,0,1.7757768643081932e-22,0.0004357273731311751,0.14934289335469653,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail -> FarmGateUA,reverse,retail_observed,initial,linear,21,46,,,,0.2120757766434913,0,1.3685841022886487e-22,0.0010376140946333993,0.151829619421904,-0.00908804263660995,0.28572667674648966,0.0015419278753241415,0.8727233097594106,0.0919495526258469,-0.010629970511934091
LP_linear,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,0,47,-5.070612441547529e-05,0.9250776806713249,0.0005391995648246437,0.6291121913344082,0,0.12982125781335324,0.005148606567617538,3.1817820703469913e-54,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,0,47,,,,0.6391240707148649,0,0.15313078568024577,0.034032355476384765,4.156038615197027e-50,-0.0010151613746338228,0.14752904127791408,-0.0008941556302319334,0.4242270284559241,0.9108947194148278,-0.0001210057444018894
LP_linear,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,1,47,0.00022423267283281745,0.8265417259472002,0.0010232437545039453,0.574721415955687,0,0.0003124090467799198,0.06176087393425584,5.884854263508426e-34,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,1,47,,,,0.5768088639392168,0,0.0003714298488429252,0.12913317691541235,8.994696584425485e-32,-0.0005986865134352751,0.680884964194779,-0.0010304337548368858,0.6065885826034494,0.8317458331223169,0.00043174724140161074
LP_linear,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,3,47,0.0011539612114898111,0.45280843103551094,0.0015370959163052511,0.38366312141495307,0,7.535099878954573e-09,0.0019953296182494517,8.633166162028946e-10,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,3,47,,,,0.3838248452411882,0,8.312021359651713e-09,0.002124946999496541,1.3414583868684792e-09,0.0007427281147810265,0.8186460460544349,-0.0015568398574797742,0.627464311958206,0.45403009011199535,0.0022995679722608007
LP_linear,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,7,47,-0.003589547279815251,0.30670060626920115,0.003511694201274266,0.31489088121554243,0,1.6981486874718974e-10,0.14766567160197533,0.9707966906597116,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,7,47,,,,0.32068042578633993,0,6.11334138199932e-10,0.21015902322718952,0.9789601206544757,-0.00741715468253722,0.15868597566514164,-0.00016029994826272272,0.9689036640068268,0.28563511992396073,-0.007256854734274497
LP_linear,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,14,47,-0.0025350549846678777,0.5163282482408487,0.003905999662229396,0.1755354181625679,0,2.1667261949904583e-12,0.01969654072354604,0.02870986588608507,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,14,47,,,,0.21083432824212112,1,1.498136612540305e-10,0.023042706117829572,0.034433610560497596,-0.01294589109725261,0.013339516840337672,-0.007664278654143604,0.3067948135740768,0.44828310730190846,-0.005281612443109006
LP_linear,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,21,46,-0.005240095484562819,0.11983304116709742,0.0033688077867929495,0.2085084569439445,0,1.7757768643081932e-22,0.0004357273731311751,0.14934289335469653,,,,,,
LP_asymmetric,milk_powder,Milk powder,Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,initial,linear,21,46,,,,0.2120757766434913,0,1.3685841022886487e-22,0.0010376140946333993,0.151829619421904,-0.00908804263660995,0.28572667674648966,0.0015419278753241415,0.8727233097594106,0.0919495526258469,-0.010629970511934091
LP_linear,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,0,1458,0.05316666606035089,0.019110859597771465,0.022688205621904853,0.6455710193189501,1,1.402588245431703e-11,4.555039038954082e-47,0.0,,,,,,
LP_asymmetric,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,0,1458,,,,0.645583588450013,1,1.332663233689306e-11,3.49207158487721e-47,0.0,0.0542727167564833,0.013427915703017554,-0.052060961047423,0.03848162868371814,0.019158597200430758,0.10633367780390629
LP_linear,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,1,1458,0.09560838658066549,0.012951107737060886,0.03847248272004415,0.5681590627428714,1,1.063960369096705e-85,2.9290062051471532e-58,0.0,,,,,,
LP_asymmetric,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,1,1458,,,,0.5682299073938188,1,9.660393069549102e-86,2.0214031920347462e-58,0.0,0.10059037112966726,0.004770767855329834,-0.09062795909264687,0.04499629674931931,0.01308527275388597,0.19121833022231413
LP_linear,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,3,1457,0.16388412790071397,0.0140749292400505,0.0667458558405158,0.4023777733205931,1,5.634476009499386e-301,1.6875037646754216e-118,0.0,,,,,,
LP_asymmetric,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,3,1457,,,,0.40282941695110186,1,3.7612330981023435e-301,1.1056777277194832e-118,0.0,0.18705645966912496,0.0029155948203541896,-0.14071837019235273,0.0909447525631201,0.014630786283801645,0.32777482986147766
LP_linear,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,7,1453,0.21285072848898706,0.024032934883533776,0.0943235438550977,0.15353119570885565,1,0.0,2.0743315455554424e-229,0.0,,,,,,
LP_asymmetric,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,7,1453,,,,0.15540252811811717,1,0.0,1.6800969205694897e-229,0.0,0.292516368554065,0.003147303999103509,-0.13319842407576216,0.29243034470998786,0.026179519675874622,0.42571479262982714
LP_linear,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,14,1446,0.24177203100027767,0.02853844947239913,0.11040806543032058,0.0394233046623077,1,0.0,4.14464668066125e-282,0.0,,,,,,
LP_asymmetric,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,14,1446,,,,0.04820914548347299,1,0.0,9.668870656667123e-282,0.0,0.48451499394862896,0.0005569602254494724,0.0010495271060292268,0.9952450695229851,0.03275823405864557,0.4834654668425997
LP_linear,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,21,1439,0.28229999174778037,0.039790434169076246,0.13731092912957274,0.02165978873374763,1,0.0,3.9898686170073903e-283,8.54060147848052e-87,,,,,,
LP_asymmetric,milk_powder,Milk powder,ProducerUA -> FarmGateUA,reverse,processor_price,initial,linear,21,1439,,,,0.030942769666665315,1,0.0,1.3135146073960492e-282,5.49989979915149e-90,0.5722894700482632,0.000958477385288617,0.007604112313723849,0.9713804974629554,0.039934641748902364,0.5646853577345394
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,0,47,-39.91879447555143,0.521104616615795,62.213344665050606,0.07977637231390189,0,0.014912062109659781,0.47595135286255474,0.9356021165060195,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,0,47,,,,0.07978160190753569,0,0.014655052402571235,0.474606015697425,0.9359290890960024,-34.96648095974173,0.8835969713297267,40.984163554182835,0.5911917760723653,0.7344339496380469,-75.95064451392457
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,1,45,-131.1252892652152,0.0522930996844024,67.56552351448887,0.13577233452548487,1,3.838989839122166e-10,0.8942303150020268,0.5545483450864506,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,1,45,,,,0.13583173634832924,0,4.928490742425627e-10,0.8860176783235194,0.5505181950634295,-152.45461013603835,0.6968193996327388,126.50848864272497,0.16896433800727817,0.42277993997392704,-278.9630987787633
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,3,44,40.94170105840106,0.6637658667240105,94.17953016750961,0.3855818748418004,0,0.004724583944420177,0.7059543266213302,0.9516701635698226,,,,,,
LP_asymmetric,milk_powder,Milk powder,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,3,44,,,,0.39029398977316165,0,0.004932965748227728,0.6027780738533451,0.8409490526657035,-140.93993754093455,0.6948678646109663,-80.39046880135868,0.44273517101803317,0.8669187385431474,-60.54946873957587
LP_linear,milk_powder,Milk powder,FarmGateUA -> Retail optimal,forward,retail_optimal_observed,initial,linear,7,42,-160.87960587077526,0.01572612200043223,66.6110103354528,0.3496436118098424,1,9.061094106048115e-07,0.0985513439277544,0.34316331283936746,,,,,,
